Genome	12_A_MEL_host_removed_R1_2700000.fq Trimmed Mean
virome_phage_46	12.809558
virome_phage_2315	29.371675
total_phage_417	5.923138
virome_phage_835	0
virome_phage_997	0
total_phage_243	0
virome_phage_62	1.6116079
virome_phage_116	19.663734
virome_phage_752	0
total_phage_788	0
virome_phage_34	8.493304
virome_phage_2329	8.815844
total_phage_663	0
virome_phage_2402	0
virome_phage_2303	6.285267
virome_phage_35	3.1920424
total_phage_249	0
total_phage_187	0
virome_phage_857	0
virome_phage_899	0
total_phage_526	0
virome_phage_876	9.927299
virome_phage_770	0
virome_phage_846	11.50409
virome_phage_2380	0
virome_phage_2274	0
total_phage_730	12.684869
total_phage_786	0
virome_phage_49	4.577238
total_phage_727	0
virome_phage_202	5.883723
virome_phage_901	0
total_phage_117	0
virome_phage_2345	0
virome_phage_812	0
virome_phage_142	18.019886
virome_phage_31	5.4939213
virome_phage_181	699.8558
virome_phage_67	18.25625
virome_phage_855	0
virome_phage_898	0
virome_phage_48	12.950635
virome_phage_851	0
total_phage_9	0
virome_phage_41	3.5905848
total_phage_297	0
total_phage_360	3.687935
total_phage_12	0
virome_phage_778	3.9606876
virome_phage_854	0
total_phage_639	0
virome_phage_864	0
virome_phage_993	58.30238
total_phage_418	0
virome_phage_2263	0
total_phage_125	0
virome_phage_2368	23.102894
total_phage_696	0
virome_phage_275	211.28487
total_phage_731	32.956135
total_phage_930	0
virome_phage_2270	0
virome_phage_118	75.554276
total_phage_294	5.6999817
virome_phage_2398	0
total_phage_524	0
total_phage_787	0
virome_phage_1131	0
total_phage_366	0
virome_phage_766	0
total_phage_798	2.3195207
virome_phage_792	4.4052286
total_phage_175	7.650528
virome_phage_2254	0
virome_phage_2342	12.732877
total_phage_483	0
virome_phage_890	13.8495035
virome_phage_2914	0
total_phage_413	142.6448
total_phage_512	0
virome_phage_2624	11.899766
total_phage_113	0
virome_phage_42	2.6240747
virome_phage_894	0
total_phage_104	0
virome_phage_1082	0
virome_phage_2235	5.9546304
virome_phage_2312	0
total_phage_174	6.364426
virome_phage_117	5.99052
virome_phage_77	7.757303
virome_phage_829	0
virome_phage_815	0
virome_phage_2333	0
virome_phage_2356	0
virome_phage_2343	41.44066
virome_phage_1849	0
virome_phage_960	790.0848
virome_phage_272	23.037712
virome_phage_1063	0
virome_phage_782	0
virome_phage_847	0
virome_phage_177	1.9333553
virome_phage_808	0
virome_phage_12	8.492438
virome_phage_866	0
virome_phage_56	1.6010022
virome_phage_50	0
virome_phage_2599	0
total_phage_500	0
total_phage_239	7.888451
total_phage_785	0
total_phage_783	0
virome_phage_22	3.7341478
virome_phage_834	0
virome_phage_1507	0
virome_phage_2409	46.650745
virome_phage_2401	408.10852
virome_phage_825	0
total_phage_658	0
virome_phage_913	0
total_phage_242	3.532913
total_phage_18	174.12924
virome_phage_1236	0
virome_phage_2330	310.22516
virome_phage_153	13.432363
virome_phage_2465	0
virome_phage_14	3.7282922
virome_phage_1675	0
virome_phage_809	0
total_phage_737	0
total_phage_246	0
virome_phage_193	10.3577
virome_phage_83	81.15636
virome_phage_749	0
total_phage_820	0
virome_phage_780	0
virome_phage_797	0
virome_phage_2323	125.35431
virome_phage_831	0
total_phage_735	0
total_phage_738	0
virome_phage_833	0
virome_phage_881	0
total_phage_479	0
virome_phage_759	11.650282
virome_phage_843	0
virome_phage_2496	0
virome_phage_115	13.6615095
total_phage_650	0
virome_phage_903	0
total_phage_711	0
virome_phage_819	0
virome_phage_860	0
virome_phage_32	2.9037423
virome_phage_798	0
virome_phage_91	26.347376
virome_phage_742	0
virome_phage_882	0
total_phage_416	0
virome_phage_791	0
total_phage_733	6.0404515
total_phage_102	3.1515086
total_phage_454	0
virome_phage_98	0
virome_phage_784	0
virome_phage_2278	13.133569
virome_phage_33	5.4824114
virome_phage_740	5.950166
virome_phage_2259	0
virome_phage_1199	454.00613
virome_phage_1279	0
virome_phage_764	0
virome_phage_821	0
total_phage_2	0
virome_phage_795	0
total_phage_451	0
total_phage_437	0
virome_phage_2407	374.1913
virome_phage_1077	59.74821
virome_phage_804	0
virome_phage_69	17.919582
total_phage_1	7.2497244
virome_phage_2298	0
virome_phage_23	18.468891
virome_phage_4	46.642975
virome_phage_875	0
total_phage_808	0
virome_phage_94	0
virome_phage_1217	0
total_phage_370	0
total_phage_462	0
virome_phage_858	3.907491
virome_phage_818	0
virome_phage_1117	0
total_phage_927	0
virome_phage_891	2.313337
virome_phage_781	0
virome_phage_773	0
virome_phage_2286	0
virome_phage_826	0
virome_phage_839	0
virome_phage_86	17.93601
virome_phage_87	9.123989
virome_phage_2243	0
virome_phage_2530	0
total_phage_725	0
virome_phage_104	1.8748618
virome_phage_810	0
virome_phage_82	23.093592
total_phage_518	0
virome_phage_848	0
total_phage_3	0
virome_phage_2335	0
virome_phage_760	0
total_phage_803	0
virome_phage_119	12.628321
total_phage_638	0
virome_phage_183	281.02997
total_phage_11	0
virome_phage_2285	0
virome_phage_3	1.4189521
virome_phage_1813	0
total_phage_926	0
virome_phage_852	0
virome_phage_748	0
virome_phage_36	290.83047
virome_phage_844	0
virome_phage_2912	0
total_phage_795	16.19469
virome_phage_1092	0
virome_phage_822	0
total_phage_92	0
total_phage_799	6.308096
virome_phage_80	1.354576
virome_phage_878	0
virome_phage_2314	0
virome_phage_744	0
total_phage_100	12.560141
total_phage_308	1.834842
virome_phage_932	0
virome_phage_39	5.1526537
virome_phage_19	3.3334827
total_phage_123	2.3329828
virome_phage_27	167.96751
virome_phage_78	15.156457
virome_phage_107	4.826695
virome_phage_2411	58.423824
virome_phage_2310	0
virome_phage_2300	0
total_phage_488	0
virome_phage_2305	0
virome_phage_1286	0
total_phage_357	0
virome_phage_219	4.0986667
virome_phage_75	2.4463372
virome_phage_76	37.530865
virome_phage_800	9.014806
virome_phage_915	0
virome_phage_97	2.8997526
total_phage_4	3.4050078
total_phage_636	0
total_phage_796	8.626352
total_phage_609	0
virome_phage_2288	8.948122
virome_phage_45	6.3194194
virome_phage_2403	90.80759
virome_phage_753	0
total_phage_189	3.815291
virome_phage_2281	0
virome_phage_2306	0
total_phage_453	0
total_phage_415	3.5046475
virome_phage_1446	0
total_phage_178	0
virome_phage_2296	0
virome_phage_814	0
virome_phage_1155	0
virome_phage_1411	0
virome_phage_911	0
total_phage_364	4.1989465
total_phage_368	3.19011
total_phage_121	0
total_phage_692	0
virome_phage_1061	10.350542
virome_phage_2299	0
virome_phage_21	6.5596347
virome_phage_70	1.6525646
virome_phage_802	0
total_phage_112	49.366222
virome_phage_925	0
total_phage_358	0
virome_phage_2382	0
virome_phage_110	114.712585
total_phage_172	9.28147
virome_phage_1873	0
virome_phage_1006	54.044937
virome_phage_768	0
total_phage_666	0
total_phage_5	1.8584162
virome_phage_2304	6.9447613
total_phage_0	0
virome_phage_2339	12.308894
virome_phage_61	136.34059
total_phage_729	0
virome_phage_817	0
virome_phage_824	0
total_phage_694	0
virome_phage_734	2.0154288
virome_phage_1668	0
virome_phage_26	63.269047
total_phage_371	3.879036
virome_phage_2347	0
virome_phage_2355	0
total_phage_449	3.1756802
virome_phage_81	123.153145
virome_phage_776	3.9237516
virome_phage_774	0
virome_phage_28	35.163208
virome_phage_936	0
virome_phage_160	9.82218
virome_phage_101	7.082956
virome_phage_2319	385.41736
virome_phage_57	30.694344
virome_phage_2359	4.2656493
virome_phage_909	7.8669186
virome_phage_54	0
virome_phage_736	0
virome_phage_2301	0
virome_phage_155	10.4951515
virome_phage_2322	0
virome_phage_741	0
total_phage_233	4.5377917
virome_phage_271	13.766673
total_phage_471	0
total_phage_713	0
virome_phage_8	12.103055
total_phage_446	0
total_phage_794	0
virome_phage_88	8.373215
virome_phage_2272	0
total_phage_611	0
virome_phage_794	0
virome_phage_2320	0
virome_phage_176	62.781597
total_phage_369	4.531155
virome_phage_154	38.47245
virome_phage_73	2.3035834
virome_phage_862	50.306442
total_phage_105	0
total_phage_605	0
virome_phage_2388	0
virome_phage_55	31.7534
virome_phage_2424	632.9845
virome_phage_746	0
virome_phage_900	0
total_phage_303	0
virome_phage_71	2.1638937
total_phage_363	3.0408156
virome_phage_2372	3.9079309
virome_phage_974	0
virome_phage_124	198.64606
total_phage_789	0
virome_phage_861	0
virome_phage_1467	0
total_phage_600	0
total_phage_362	6.6009703
virome_phage_7	19.73808
virome_phage_2282	0
virome_phage_2237	0
total_phage_254	311.26108
total_phage_240	0
virome_phage_1541	0
total_phage_443	4.147971
virome_phage_2522	64.70886
total_phage_116	0
virome_phage_761	0
virome_phage_935	0
total_phage_935	2.51233
virome_phage_2293	0
total_phage_934	2.7699285
virome_phage_868	0
virome_phage_9	1.5358807
total_phage_237	0
virome_phage_743	0
virome_phage_84	13.153605
virome_phage_908	0
virome_phage_5	3.44683
virome_phage_789	0
virome_phage_109	0
virome_phage_1565	0
virome_phage_151	13.039334
virome_phage_904	0
virome_phage_837	4.220869
virome_phage_63	1.7621704
virome_phage_10	69.37587
virome_phage_2269	21.16852
virome_phage_762	0
virome_phage_806	0
virome_phage_765	0
virome_phage_2294	0
virome_phage_123	9.56546
total_phage_307	15.352984
total_phage_929	0
virome_phage_1004	85.29544
total_phage_188	0
total_phage_616	0
virome_phage_811	0
virome_phage_65	15.812656
total_phage_804	8.41011
virome_phage_807	0
virome_phage_745	0
virome_phage_24	6.717722
virome_phage_979	0
virome_phage_828	0
total_phage_604	0
total_phage_517	0
total_phage_305	0
virome_phage_793	0
virome_phage_1154	0
virome_phage_2327	1.9005958
virome_phage_758	0
total_phage_653	0
total_phage_122	0
virome_phage_859	0
total_phage_111	0
virome_phage_939	0
virome_phage_196	5.2893524
virome_phage_813	0
virome_phage_750	1.8891584
total_phage_231	0
virome_phage_735	0
virome_phage_871	0
virome_phage_756	0
virome_phage_2295	0
virome_phage_18	8.905122
total_phage_664	0
total_phage_299	0
virome_phage_1770	0
virome_phage_842	0
virome_phage_158	21.75964
virome_phage_820	0
total_phage_114	0
virome_phage_68	1.6404185
virome_phage_769	0
total_phage_106	7.8746715
virome_phage_145	2216.603
virome_phage_788	0
virome_phage_751	0
virome_phage_2324	19.063936
total_phage_179	0
virome_phage_912	0
total_phage_697	0
total_phage_809	0
virome_phage_37	3.5850437
virome_phage_1142	0
virome_phage_189	2.5181184
virome_phage_841	0
virome_phage_164	94.5685
total_phage_98	0
virome_phage_239	579.06744
total_phage_298	3.9437363
virome_phage_863	0
total_phage_497	0
total_phage_247	0
total_phage_745	3.3092873
virome_phage_172	2.2262197
virome_phage_25	89.6979
total_phage_743	161.25146
virome_phage_52	3.8697495
virome_phage_1109	0
total_phage_487	0
virome_phage_2360	8.071791
total_phage_252	0
virome_phage_2385	0
virome_phage_783	0
total_phage_248	3.7223423
total_phage_244	0
virome_phage_739	8.74133
virome_phage_2313	0
virome_phage_955	0
total_phage_791	0
total_phage_637	0
virome_phage_796	0
virome_phage_754	0
virome_phage_58	1.7592044
virome_phage_838	0
total_phage_501	0
virome_phage_827	0
virome_phage_51	56.69235
virome_phage_47	2.4172382
virome_phage_2290	5.9524283
total_phage_95	0
total_phage_118	0
virome_phage_2389	0
virome_phage_870	0
virome_phage_1032	73.51944
virome_phage_2239	0
virome_phage_112	27.721937
virome_phage_2268	0
virome_phage_303	497.29706
virome_phage_152	121.195564
virome_phage_79	12.575789
virome_phage_2357	0
total_phage_293	0
total_phage_304	0
virome_phage_799	0
virome_phage_884	2.2960863
virome_phage_440	1.5861862
virome_phage_201	283.50348
virome_phage_2255	0
total_phage_797	5.8894873
virome_phage_2280	16.86077
virome_phage_893	0
virome_phage_16	1.535142
virome_phage_949	0
total_phage_232	0
virome_phage_803	0
virome_phage_66	11.144216
total_phage_520	0
total_phage_782	5.6930413
virome_phage_914	0
virome_phage_786	0
virome_phage_787	0
virome_phage_144	8.089767
total_phage_306	3.920315
total_phage_176	0
total_phage_806	0
virome_phage_2275	0
virome_phage_906	0
virome_phage_59	3.1875224
virome_phage_2308	5.666483
