Genome	1_B_IMP_host_removed_R1_3500000.fq Trimmed Mean
virome_phage_28	0
virome_phage_936	0
virome_phage_160	0
virome_phage_101	0
virome_phage_2319	0
virome_phage_57	0
virome_phage_2359	0
virome_phage_909	0
virome_phage_54	0
virome_phage_736	0
virome_phage_2301	0
virome_phage_155	0
virome_phage_2322	0
virome_phage_741	0
total_phage_233	0
virome_phage_271	0
total_phage_471	0
total_phage_713	0
virome_phage_8	0
total_phage_446	0
total_phage_794	0
virome_phage_88	0
virome_phage_2272	0
total_phage_611	0
virome_phage_794	0
virome_phage_2320	0
virome_phage_176	0
total_phage_369	0
virome_phage_154	0
virome_phage_73	0
virome_phage_862	0
total_phage_105	0
total_phage_605	0
virome_phage_2388	0
virome_phage_55	0
virome_phage_2424	0
virome_phage_746	0
virome_phage_900	0
total_phage_303	0
virome_phage_71	0
total_phage_363	0
virome_phage_2372	0
virome_phage_974	0
virome_phage_124	0
total_phage_789	0
virome_phage_861	0
virome_phage_1467	0
total_phage_600	0
total_phage_362	0
virome_phage_7	0
virome_phage_2282	0
virome_phage_2237	31.989416
total_phage_254	0
total_phage_240	0
virome_phage_1541	0
total_phage_443	0
virome_phage_2522	0
total_phage_116	0
virome_phage_761	0
virome_phage_935	0
total_phage_935	0
virome_phage_2293	0
total_phage_934	0
virome_phage_868	0
virome_phage_9	0
total_phage_237	0
virome_phage_743	0
virome_phage_84	0
virome_phage_908	0
virome_phage_5	0
virome_phage_789	0
virome_phage_109	0
virome_phage_1565	0
virome_phage_151	0
virome_phage_904	0
virome_phage_837	0
virome_phage_63	0
virome_phage_10	0
virome_phage_2269	0
virome_phage_762	0
virome_phage_806	0
virome_phage_765	0
virome_phage_2294	0
virome_phage_123	0
total_phage_307	0
total_phage_929	0
virome_phage_1004	0
total_phage_188	0
total_phage_616	0
virome_phage_811	0
virome_phage_65	0
total_phage_804	0
virome_phage_807	0
virome_phage_745	0
virome_phage_24	0
virome_phage_979	0
virome_phage_828	0
total_phage_604	0
total_phage_517	0
total_phage_305	0
virome_phage_793	0
virome_phage_1154	0
virome_phage_2327	0
virome_phage_758	0
total_phage_653	0
total_phage_122	0
virome_phage_859	0
total_phage_111	0
virome_phage_939	0
virome_phage_196	0
virome_phage_813	0
virome_phage_750	0
total_phage_231	0
virome_phage_735	0
virome_phage_871	0
virome_phage_756	0
virome_phage_2295	0
virome_phage_18	0
total_phage_664	0
total_phage_299	0
virome_phage_1770	0
virome_phage_842	0
virome_phage_158	0
virome_phage_820	0
total_phage_114	0
virome_phage_68	0
virome_phage_769	0
total_phage_106	0
virome_phage_145	0
virome_phage_788	0
virome_phage_751	0
virome_phage_2324	0
total_phage_179	0
virome_phage_912	0
total_phage_697	0
total_phage_809	0
virome_phage_37	0
virome_phage_1142	0
virome_phage_189	0
virome_phage_841	0
virome_phage_164	0
total_phage_98	0
virome_phage_239	0
total_phage_298	0
virome_phage_863	0
total_phage_497	0
total_phage_247	0
total_phage_745	0
virome_phage_172	0
virome_phage_25	0
total_phage_743	0
virome_phage_52	0
virome_phage_1109	0
total_phage_487	24.481125
virome_phage_2360	0
total_phage_252	0
virome_phage_2385	0
virome_phage_783	0
total_phage_248	0
total_phage_244	0
virome_phage_739	0
virome_phage_2313	0
virome_phage_955	0
total_phage_791	0
total_phage_637	0
virome_phage_796	0
virome_phage_754	0
virome_phage_58	0
virome_phage_838	0
total_phage_501	0
virome_phage_827	0
virome_phage_51	0
virome_phage_47	0
virome_phage_2290	0
total_phage_95	0
total_phage_118	0
virome_phage_2389	0
virome_phage_870	0
virome_phage_1032	0
virome_phage_2239	0
virome_phage_112	0
virome_phage_2268	0
virome_phage_303	0
virome_phage_152	0
virome_phage_79	0
