Genome	7_A_MEL_host_removed_R1_2400000.fq Trimmed Mean
virome_phage_46	0
virome_phage_2315	19.770006
total_phage_417	6.0360184
virome_phage_835	0
virome_phage_997	0
total_phage_243	0
virome_phage_62	0
virome_phage_116	177.96588
virome_phage_752	0
total_phage_788	12.425436
virome_phage_34	0
virome_phage_2329	48.905163
total_phage_663	0
virome_phage_2402	3.1438427
virome_phage_2303	63.9136
virome_phage_35	0
total_phage_249	0
total_phage_187	0
virome_phage_857	0
virome_phage_899	0
total_phage_526	0
virome_phage_876	16.871273
virome_phage_770	0
virome_phage_846	0
virome_phage_2380	4.431328
virome_phage_2274	37.634777
total_phage_730	59.938232
total_phage_786	0
virome_phage_49	0
total_phage_727	0
virome_phage_202	0
virome_phage_901	0
total_phage_117	2.0004902
virome_phage_2345	6.2464657
virome_phage_812	0
virome_phage_142	2.8431985
virome_phage_31	0
virome_phage_181	0
virome_phage_67	55.20045
virome_phage_855	0
virome_phage_898	0
virome_phage_48	0
virome_phage_851	0
total_phage_9	0
virome_phage_41	0
total_phage_297	0
total_phage_360	3.92092
total_phage_12	0
virome_phage_778	7.6685305
virome_phage_854	0
total_phage_639	0
virome_phage_864	0
virome_phage_993	0
total_phage_418	0
virome_phage_2263	0
total_phage_125	0
virome_phage_2368	46.00125
total_phage_696	0
virome_phage_275	0
total_phage_731	111.90456
total_phage_930	2.732912
virome_phage_2270	1.5027543
virome_phage_118	0
total_phage_294	3.6941583
virome_phage_2398	6.77966
total_phage_524	0
total_phage_787	0
virome_phage_1131	0
total_phage_366	0
virome_phage_766	0
total_phage_798	2.2613633
virome_phage_792	0
total_phage_175	7.820774
virome_phage_2254	0
virome_phage_2342	9.772571
total_phage_483	0
virome_phage_890	3.2511442
virome_phage_2914	3.6180546
total_phage_413	27.431759
total_phage_512	0
virome_phage_2624	2.6711607
total_phage_113	0
virome_phage_42	0
virome_phage_894	0
total_phage_104	0
virome_phage_1082	0
virome_phage_2235	0
virome_phage_2312	3.5242896
total_phage_174	0
virome_phage_117	5.9943633
virome_phage_77	0
virome_phage_829	0
virome_phage_815	0
virome_phage_2333	2.1832397
virome_phage_2356	26.587664
virome_phage_2343	86.57483
virome_phage_1849	0
virome_phage_960	0
virome_phage_272	0
virome_phage_1063	0
virome_phage_782	0
virome_phage_847	0
virome_phage_177	0
virome_phage_808	0
virome_phage_12	0
virome_phage_866	0
virome_phage_56	0
virome_phage_50	0
virome_phage_2599	0
total_phage_500	0
total_phage_239	0
total_phage_785	0
total_phage_783	0
virome_phage_22	0
virome_phage_834	0
virome_phage_1507	0
virome_phage_2409	342.7778
virome_phage_2401	2.3552454
virome_phage_825	0
total_phage_658	0
virome_phage_913	0
total_phage_242	3.7281601
total_phage_18	0
virome_phage_1236	0
virome_phage_2330	1039.7137
virome_phage_153	89.15047
virome_phage_2465	55.61193
virome_phage_14	0
virome_phage_1675	0
virome_phage_809	0
total_phage_737	0
total_phage_246	0
virome_phage_193	0
virome_phage_83	6.190379
virome_phage_749	0
total_phage_820	0
virome_phage_780	0
virome_phage_797	0
virome_phage_2323	2.439305
virome_phage_831	7.9424086
total_phage_735	0
total_phage_738	0
virome_phage_833	0
virome_phage_881	0
total_phage_479	0
virome_phage_759	93.67529
virome_phage_843	0
virome_phage_2496	2.6804175
virome_phage_115	172.76671
total_phage_650	0
virome_phage_903	0
total_phage_711	0
virome_phage_819	25.385357
virome_phage_860	0
virome_phage_32	0
virome_phage_798	0
virome_phage_91	0
virome_phage_742	0
virome_phage_882	2.3269646
total_phage_416	0
virome_phage_791	0
total_phage_733	5.056278
total_phage_102	4.8021297
total_phage_454	0
virome_phage_98	0
virome_phage_784	0
virome_phage_2278	23.900396
virome_phage_33	0
virome_phage_740	65.85709
virome_phage_2259	0
virome_phage_1199	41.153446
virome_phage_1279	0
virome_phage_764	0
virome_phage_821	0
total_phage_2	0
virome_phage_795	0
total_phage_451	0
total_phage_437	0
