Genome	7_A_MEL_host_removed_R1_3400000.fq Trimmed Mean
virome_phage_46	0
virome_phage_2315	27.501062
total_phage_417	8.195637
virome_phage_835	0
virome_phage_997	0
total_phage_243	0
virome_phage_62	0
virome_phage_116	250.88364
virome_phage_752	0
total_phage_788	17.378473
virome_phage_34	0
virome_phage_2329	68.55042
total_phage_663	0
virome_phage_2402	4.3191032
virome_phage_2303	90.98385
virome_phage_35	0
total_phage_249	2.2286592
total_phage_187	0
virome_phage_857	0
virome_phage_899	0
total_phage_526	0
virome_phage_876	23.981522
virome_phage_770	0
virome_phage_846	0
virome_phage_2380	6.4816117
virome_phage_2274	53.36768
total_phage_730	85.04295
total_phage_786	0
virome_phage_49	0
total_phage_727	0
virome_phage_202	0
virome_phage_901	0
total_phage_117	2.8676996
virome_phage_2345	8.829847
virome_phage_812	0
virome_phage_142	3.9288876
virome_phage_31	0
virome_phage_181	0
virome_phage_67	77.46952
virome_phage_855	0
virome_phage_898	0
virome_phage_48	0
virome_phage_851	0
total_phage_9	0
virome_phage_41	0
total_phage_297	0
total_phage_360	5.571513
total_phage_12	0
virome_phage_778	10.956554
virome_phage_854	0
total_phage_639	0
virome_phage_864	0
virome_phage_993	0
total_phage_418	0
virome_phage_2263	0
total_phage_125	0
virome_phage_2368	65.4492
total_phage_696	0
virome_phage_275	0
total_phage_731	158.98453
total_phage_930	3.8698936
virome_phage_2270	2.1618066
virome_phage_118	0
total_phage_294	5.2184067
virome_phage_2398	10.073789
total_phage_524	0
total_phage_787	0
virome_phage_1131	0
total_phage_366	0
virome_phage_766	0
total_phage_798	3.1024916
virome_phage_792	4.404124
total_phage_175	11.210571
virome_phage_2254	0
virome_phage_2342	13.626193
total_phage_483	0
virome_phage_890	4.3793344
virome_phage_2914	5.427635
total_phage_413	38.77889
total_phage_512	0
virome_phage_2624	3.6576788
total_phage_113	0
virome_phage_42	0
virome_phage_894	0
total_phage_104	0
virome_phage_1082	0
virome_phage_2235	0
virome_phage_2312	4.8868456
total_phage_174	0
virome_phage_117	8.623751
virome_phage_77	0
virome_phage_829	0
virome_phage_815	1.9354867
virome_phage_2333	3.1998847
virome_phage_2356	37.646633
virome_phage_2343	122.960655
virome_phage_1849	0
virome_phage_960	0
virome_phage_272	0
virome_phage_1063	0
virome_phage_782	0
virome_phage_847	0
virome_phage_177	0
virome_phage_808	0
virome_phage_12	0
virome_phage_866	0
virome_phage_56	0
virome_phage_50	0
virome_phage_2599	2.6031199
total_phage_500	0
total_phage_239	0
total_phage_785	4.521374
total_phage_783	0
virome_phage_22	0
virome_phage_834	0
virome_phage_1507	0
virome_phage_2409	487.62143
virome_phage_2401	3.430513
virome_phage_825	0
total_phage_658	0
virome_phage_913	0
total_phage_242	5.2758284
total_phage_18	1.7133892
virome_phage_1236	0
virome_phage_2330	1473.774
virome_phage_153	126.12895
virome_phage_2465	77.092354
virome_phage_14	0
virome_phage_1675	0
virome_phage_809	0
total_phage_737	0
total_phage_246	0
virome_phage_193	0
virome_phage_83	8.88211
virome_phage_749	0
total_phage_820	0
virome_phage_780	0
virome_phage_797	0
virome_phage_2323	3.5786705
virome_phage_831	10.917432
total_phage_735	6.4685206
total_phage_738	3.008023
virome_phage_833	0
virome_phage_881	0
total_phage_479	0
virome_phage_759	132.41989
virome_phage_843	0
virome_phage_2496	3.5982108
virome_phage_115	244.14415
total_phage_650	0
virome_phage_903	0
total_phage_711	0
virome_phage_819	35.872616
virome_phage_860	0
virome_phage_32	0
virome_phage_798	0
virome_phage_91	0
virome_phage_742	0
virome_phage_882	3.5005307
total_phage_416	0
virome_phage_791	0
total_phage_733	7.2823887
total_phage_102	7.077126
total_phage_454	0
virome_phage_98	0
virome_phage_784	0
virome_phage_2278	34.300133
virome_phage_33	0
virome_phage_740	93.576256
virome_phage_2259	0
virome_phage_1199	58.44226
virome_phage_1279	0
virome_phage_764	0
virome_phage_821	0
total_phage_2	0
virome_phage_795	0
total_phage_451	0
total_phage_437	0
virome_phage_2407	1793.5978
virome_phage_1077	0
virome_phage_804	0
virome_phage_69	0
total_phage_1	7.8568854
virome_phage_2298	63.166035
virome_phage_23	0
virome_phage_4	20.277674
virome_phage_875	0
total_phage_808	16.071207
virome_phage_94	0
virome_phage_1217	0
total_phage_370	0
total_phage_462	0
virome_phage_858	8.04413
virome_phage_818	0
virome_phage_1117	0
total_phage_927	0
virome_phage_891	5.230049
virome_phage_781	0
virome_phage_773	0
virome_phage_2286	4.100704
virome_phage_826	0
virome_phage_839	0
virome_phage_86	0
virome_phage_87	0
virome_phage_2243	0
virome_phage_2530	1.7882602
total_phage_725	0
virome_phage_104	0
virome_phage_810	0
virome_phage_82	160.95612
total_phage_518	0
virome_phage_848	0
total_phage_3	0
virome_phage_2335	28.211765
virome_phage_760	0
total_phage_803	0
virome_phage_119	0
total_phage_638	0
virome_phage_183	340.04233
total_phage_11	0
virome_phage_2285	3.4731636
virome_phage_3	0
virome_phage_1813	0
total_phage_926	0
virome_phage_852	0
virome_phage_748	0
virome_phage_36	1.8165541
virome_phage_844	0
virome_phage_2912	4.200479
total_phage_795	33.03156
virome_phage_1092	0
virome_phage_822	0
total_phage_92	0
total_phage_799	2.4431493
virome_phage_80	0
virome_phage_878	0
virome_phage_2314	95.07124
virome_phage_744	0
total_phage_100	17.874159
total_phage_308	4.2530913
virome_phage_932	0
virome_phage_39	0
virome_phage_19	0
total_phage_123	0
virome_phage_27	0
virome_phage_78	0
virome_phage_107	0
virome_phage_2411	8.552897
virome_phage_2310	41.713024
virome_phage_2300	12.785584
total_phage_488	0
virome_phage_2305	33.592243
virome_phage_1286	0
total_phage_357	0
virome_phage_219	0
virome_phage_75	0
virome_phage_76	0
virome_phage_800	28.569038
virome_phage_915	4.0204463
virome_phage_97	0
total_phage_4	2.8978403
total_phage_636	0
total_phage_796	27.825245
total_phage_609	0
virome_phage_2288	26.819826
virome_phage_45	0
virome_phage_2403	3.0482419
virome_phage_753	0
total_phage_189	7.1708727
virome_phage_2281	4.027962
virome_phage_2306	4.056125
total_phage_453	0
total_phage_415	0
virome_phage_1446	0
total_phage_178	0
virome_phage_2296	2.4054358
virome_phage_814	0
virome_phage_1155	0
virome_phage_1411	0
virome_phage_911	0
total_phage_364	4.948721
total_phage_368	0
total_phage_121	0
total_phage_692	0
virome_phage_1061	0
virome_phage_2299	20.112446
virome_phage_21	62.249702
virome_phage_70	0
virome_phage_802	0
total_phage_112	0
virome_phage_925	0
total_phage_358	0
virome_phage_2382	23.038862
virome_phage_110	0
total_phage_172	7.9253645
virome_phage_1873	0
virome_phage_1006	0
virome_phage_768	0
total_phage_666	0
total_phage_5	0
virome_phage_2304	9.90066
total_phage_0	3.0680437
virome_phage_2339	12.804735
virome_phage_61	0
total_phage_729	0
virome_phage_817	0
virome_phage_824	0
total_phage_694	0
virome_phage_734	0
virome_phage_1668	0
virome_phage_26	0
total_phage_371	6.88732
virome_phage_2347	8.118946
virome_phage_2355	18.430061
total_phage_449	2.180719
virome_phage_81	0
virome_phage_776	0
virome_phage_774	0
virome_phage_28	0
virome_phage_936	18.636297
virome_phage_160	0
virome_phage_101	0
virome_phage_2319	882.99274
virome_phage_57	0
virome_phage_2359	33.21188
virome_phage_909	6.633445
virome_phage_54	0
virome_phage_736	0
virome_phage_2301	2.80489
virome_phage_155	395.60028
virome_phage_2322	2.4053876
virome_phage_741	0
total_phage_233	5.0158515
virome_phage_271	3.364495
total_phage_471	0
total_phage_713	0
virome_phage_8	5.448913
total_phage_446	0
total_phage_794	0
virome_phage_88	27.95669
virome_phage_2272	10.15438
total_phage_611	0
virome_phage_794	0
virome_phage_2320	127.22906
virome_phage_176	8.373552
total_phage_369	11.142364
virome_phage_154	0
virome_phage_73	0
virome_phage_862	0
total_phage_105	0
total_phage_605	0
virome_phage_2388	6.816829
virome_phage_55	0
virome_phage_2424	584.3129
virome_phage_746	0
virome_phage_900	0
total_phage_303	0
virome_phage_71	0
total_phage_363	0
virome_phage_2372	121.59533
virome_phage_974	0
virome_phage_124	0
total_phage_789	0
virome_phage_861	0
