Genome	7_A_MEL_host_removed_R1_1800000.fq Trimmed Mean
virome_phage_859	0
total_phage_111	0
virome_phage_939	0
virome_phage_196	0
virome_phage_813	0
virome_phage_750	0
total_phage_231	0
virome_phage_735	0
virome_phage_871	0
virome_phage_756	0
virome_phage_2295	0
virome_phage_18	0
total_phage_664	0
total_phage_299	0
virome_phage_1770	0
virome_phage_842	0
virome_phage_158	0
virome_phage_820	0
total_phage_114	0
virome_phage_68	0
virome_phage_769	0
total_phage_106	115.64192
virome_phage_145	0
virome_phage_788	0
virome_phage_751	0
virome_phage_2324	50.56017
total_phage_179	17.847237
virome_phage_912	0
total_phage_697	0
total_phage_809	0
virome_phage_37	0
virome_phage_1142	0
virome_phage_189	0
virome_phage_841	0
virome_phage_164	1.5475727
total_phage_98	0
virome_phage_239	132.77393
total_phage_298	0
virome_phage_863	0
total_phage_497	0
total_phage_247	2.1160862
total_phage_745	0
virome_phage_172	0
virome_phage_25	0
total_phage_743	30.31561
virome_phage_52	0
virome_phage_1109	0
total_phage_487	0
virome_phage_2360	13.69641
total_phage_252	0
virome_phage_2385	2.0659916
virome_phage_783	0
total_phage_248	3.669001
total_phage_244	0
virome_phage_739	2.1314502
virome_phage_2313	2.9114506
virome_phage_955	0
total_phage_791	0
total_phage_637	0
virome_phage_796	0
virome_phage_754	0
virome_phage_58	0
virome_phage_838	0
total_phage_501	0
virome_phage_827	0
virome_phage_51	0
virome_phage_47	0
virome_phage_2290	6.104672
total_phage_95	0
total_phage_118	0
virome_phage_2389	17.639185
virome_phage_870	0
virome_phage_1032	0
virome_phage_2239	0
virome_phage_112	0
virome_phage_2268	0
virome_phage_303	0
virome_phage_152	0
virome_phage_79	8.685531
virome_phage_2357	1.9255178
total_phage_293	0
total_phage_304	0
virome_phage_799	0
virome_phage_884	7.2791166
virome_phage_440	0
virome_phage_201	30.963713
virome_phage_2255	0
total_phage_797	0
virome_phage_2280	996.7809
virome_phage_893	0
virome_phage_16	0
virome_phage_949	0
total_phage_232	0
virome_phage_803	0
virome_phage_66	0
total_phage_520	0
total_phage_782	2.564771
virome_phage_914	0
virome_phage_786	0
virome_phage_787	0
virome_phage_144	0
total_phage_306	0
total_phage_176	0
total_phage_806	0
virome_phage_2275	6.956939
virome_phage_906	0
virome_phage_59	0
virome_phage_2308	16.58455
total_phage_800	2.1205652
virome_phage_738	16.409702
total_phage_99	0
virome_phage_1033	165.92789
virome_phage_235	0
virome_phage_11	0
virome_phage_2366	3.6894836
virome_phage_2325	2.1235113
virome_phage_2913	10.037464
virome_phage_767	0
virome_phage_72	0
total_phage_525	0
virome_phage_902	9.381096
virome_phage_2297	7.394729
virome_phage_2	0
total_phage_361	0
virome_phage_64	0
virome_phage_816	0
virome_phage_2238	0
virome_phage_845	0
total_phage_925	0
virome_phage_832	0
total_phage_655	0
virome_phage_771	162.93567
virome_phage_849	0
virome_phage_963	0
virome_phage_856	0
virome_phage_1784	0
virome_phage_840	0
total_phage_807	0
virome_phage_318	0
total_phage_478	0
virome_phage_785	4.970592
virome_phage_755	14.287365
virome_phage_38	0
total_phage_715	0
virome_phage_2291	63.888603
virome_phage_823	0
virome_phage_331	0
virome_phage_1	58.65389
total_phage_8	0
virome_phage_127	0
virome_phage_280	0
virome_phage_191	0
virome_phage_772	0
virome_phage_2400	29.45344
virome_phage_779	0
virome_phage_2292	557.6704
virome_phage_895	0
virome_phage_60	0
virome_phage_96	0
total_phage_445	0
total_phage_296	0
virome_phage_43	0
virome_phage_92	0
virome_phage_120	0
virome_phage_2260	0
virome_phage_2346	89.81347
virome_phage_867	0
virome_phage_15	5.0277123
virome_phage_2353	9.825289
virome_phage_2350	19.48917
virome_phage_747	0
total_phage_793	11.830381
virome_phage_2328	17.550205
virome_phage_865	0
total_phage_644	0
virome_phage_885	0
virome_phage_850	0
virome_phage_790	0
total_phage_739	0
total_phage_414	0
total_phage_245	0
total_phage_115	0
total_phage_734	0
total_phage_790	0
virome_phage_17	0
