Genome	12_A_MEL_host_removed_R1_2600000.fq Trimmed Mean
virome_phage_46	12.2951
virome_phage_2315	28.276989
total_phage_417	5.6651845
virome_phage_835	0
virome_phage_997	0
total_phage_243	0
virome_phage_62	1.5168045
virome_phage_116	18.887058
virome_phage_752	0
total_phage_788	0
virome_phage_34	8.272575
virome_phage_2329	8.57375
total_phage_663	0
virome_phage_2402	0
virome_phage_2303	6.064506
virome_phage_35	3.0610855
total_phage_249	0
total_phage_187	0
virome_phage_857	0
virome_phage_899	0
total_phage_526	0
virome_phage_876	9.611316
virome_phage_770	0
virome_phage_846	11.016069
virome_phage_2380	0
virome_phage_2274	0
total_phage_730	12.21127
total_phage_786	0
virome_phage_49	4.4198074
total_phage_727	0
virome_phage_202	5.6308026
virome_phage_901	0
total_phage_117	0
virome_phage_2345	0
virome_phage_812	0
virome_phage_142	17.389452
virome_phage_31	5.291594
virome_phage_181	673.2057
virome_phage_67	17.592192
virome_phage_855	0
virome_phage_898	0
virome_phage_48	12.3819895
virome_phage_851	0
total_phage_9	0
virome_phage_41	3.4608953
total_phage_297	0
total_phage_360	3.5975819
total_phage_12	0
virome_phage_778	3.8292327
virome_phage_854	0
total_phage_639	0
virome_phage_864	0
virome_phage_993	55.943905
total_phage_418	0
virome_phage_2263	0
total_phage_125	0
virome_phage_2368	22.330362
total_phage_696	0
virome_phage_275	203.44215
total_phage_731	31.71117
total_phage_930	0
virome_phage_2270	0
virome_phage_118	72.72673
total_phage_294	5.495311
virome_phage_2398	0
total_phage_524	0
total_phage_787	0
virome_phage_1131	0
total_phage_366	0
virome_phage_766	0
total_phage_798	2.2310174
virome_phage_792	4.1939616
total_phage_175	7.3011875
virome_phage_2254	0
virome_phage_2342	12.181674
total_phage_483	0
virome_phage_890	13.305488
virome_phage_2914	0
total_phage_413	137.30533
total_phage_512	0
virome_phage_2624	11.404308
total_phage_113	0
virome_phage_42	2.5403602
virome_phage_894	0
total_phage_104	0
virome_phage_1082	0
virome_phage_2235	5.7493186
virome_phage_2312	0
total_phage_174	6.202499
virome_phage_117	5.7201724
virome_phage_77	7.431823
virome_phage_829	0
virome_phage_815	0
virome_phage_2333	0
virome_phage_2356	0
virome_phage_2343	39.97046
virome_phage_1849	0
virome_phage_960	760.6919
virome_phage_272	22.116802
virome_phage_1063	0
virome_phage_782	0
virome_phage_847	0
virome_phage_177	1.900791
virome_phage_808	0
virome_phage_12	8.254064
virome_phage_866	0
virome_phage_56	1.5098711
virome_phage_50	0
virome_phage_2599	0
total_phage_500	0
total_phage_239	7.6273627
total_phage_785	0
total_phage_783	0
virome_phage_22	3.5620027
virome_phage_834	0
virome_phage_1507	0
virome_phage_2409	44.833817
virome_phage_2401	392.98315
virome_phage_825	0
total_phage_658	0
virome_phage_913	0
total_phage_242	3.3907175
total_phage_18	167.44183
virome_phage_1236	0
virome_phage_2330	298.92175
virome_phage_153	12.96921
virome_phage_2465	0
virome_phage_14	3.5840852
virome_phage_1675	0
virome_phage_809	0
total_phage_737	0
total_phage_246	0
virome_phage_193	10.08525
virome_phage_83	78.37033
virome_phage_749	0
total_phage_820	0
virome_phage_780	0
virome_phage_797	0
virome_phage_2323	120.84129
virome_phage_831	0
total_phage_735	0
total_phage_738	0
virome_phage_833	0
virome_phage_881	0
total_phage_479	0
virome_phage_759	11.074317
virome_phage_843	0
virome_phage_2496	0
virome_phage_115	13.064257
total_phage_650	0
virome_phage_903	0
total_phage_711	0
virome_phage_819	0
virome_phage_860	0
virome_phage_32	2.763566
virome_phage_798	0
virome_phage_91	25.353712
virome_phage_742	0
virome_phage_882	0
total_phage_416	0
virome_phage_791	0
total_phage_733	5.845795
total_phage_102	3.0346904
total_phage_454	0
virome_phage_98	0
virome_phage_784	0
virome_phage_2278	12.615323
virome_phage_33	5.2129955
virome_phage_740	5.755138
virome_phage_2259	0
virome_phage_1199	438.32867
virome_phage_1279	0
virome_phage_764	0
virome_phage_821	0
total_phage_2	0
virome_phage_795	0
total_phage_451	0
total_phage_437	0
virome_phage_2407	360.4436
virome_phage_1077	57.05834
virome_phage_804	0
virome_phage_69	17.32413
total_phage_1	6.9975214
virome_phage_2298	0
virome_phage_23	17.798803
virome_phage_4	44.979824
virome_phage_875	0
total_phage_808	0
virome_phage_94	0
virome_phage_1217	0
total_phage_370	0
total_phage_462	0
virome_phage_858	3.7533545
virome_phage_818	0
virome_phage_1117	0
total_phage_927	0
virome_phage_891	2.2274463
virome_phage_781	0
virome_phage_773	0
virome_phage_2286	0
virome_phage_826	0
virome_phage_839	0
virome_phage_86	17.289116
virome_phage_87	8.743594
virome_phage_2243	0
virome_phage_2530	0
total_phage_725	0
virome_phage_104	1.8126167
virome_phage_810	0
virome_phage_82	22.234623
total_phage_518	0
virome_phage_848	0
total_phage_3	0
virome_phage_2335	0
virome_phage_760	0
total_phage_803	0
virome_phage_119	11.988978
total_phage_638	0
virome_phage_183	269.94852
total_phage_11	0
virome_phage_2285	0
virome_phage_3	0
virome_phage_1813	0
total_phage_926	0
virome_phage_852	0
virome_phage_748	0
virome_phage_36	280.47736
virome_phage_844	0
virome_phage_2912	0
total_phage_795	15.574495
virome_phage_1092	0
virome_phage_822	0
total_phage_92	0
total_phage_799	6.0115895
virome_phage_80	1.3187884
virome_phage_878	0
virome_phage_2314	0
virome_phage_744	0
total_phage_100	12.053191
total_phage_308	0
virome_phage_932	0
virome_phage_39	4.953194
virome_phage_19	3.205094
total_phage_123	2.2241294
virome_phage_27	161.938
virome_phage_78	14.634746
virome_phage_107	4.598869
virome_phage_2411	56.15229
virome_phage_2310	0
virome_phage_2300	0
total_phage_488	0
virome_phage_2305	0
virome_phage_1286	0
total_phage_357	0
virome_phage_219	3.9502301
virome_phage_75	2.3477623
virome_phage_76	35.741825
virome_phage_800	8.695781
virome_phage_915	0
virome_phage_97	2.8063073
total_phage_4	3.3023162
total_phage_636	0
total_phage_796	8.301915
total_phage_609	0
virome_phage_2288	8.532186
virome_phage_45	6.085279
virome_phage_2403	87.80025
virome_phage_753	0
total_phage_189	3.6673992
virome_phage_2281	0
virome_phage_2306	0
total_phage_453	0
total_phage_415	3.3251019
virome_phage_1446	0
total_phage_178	0
virome_phage_2296	0
virome_phage_814	0
virome_phage_1155	0
virome_phage_1411	0
virome_phage_911	0
total_phage_364	4.0627913
total_phage_368	3.1062298
total_phage_121	0
total_phage_692	0
virome_phage_1061	9.894123
virome_phage_2299	0
virome_phage_21	6.328247
virome_phage_70	1.6070086
virome_phage_802	0
total_phage_112	47.661583
virome_phage_925	0
total_phage_358	0
virome_phage_2382	0
virome_phage_110	110.539925
total_phage_172	9.00635
virome_phage_1873	0
virome_phage_1006	51.958126
virome_phage_768	0
total_phage_666	0
total_phage_5	1.8134472
virome_phage_2304	6.6457934
total_phage_0	0
virome_phage_2339	11.86345
virome_phage_61	131.56528
total_phage_729	0
virome_phage_817	0
virome_phage_824	0
total_phage_694	0
virome_phage_734	1.9427752
virome_phage_1668	0
virome_phage_26	60.933895
total_phage_371	3.7565188
virome_phage_2347	0
virome_phage_2355	0
total_phage_449	3.0685925
virome_phage_81	118.553444
virome_phage_776	3.7463474
virome_phage_774	0
virome_phage_28	33.815926
virome_phage_936	0
virome_phage_160	9.4225025
virome_phage_101	6.828995
virome_phage_2319	371.5805
virome_phage_57	29.627777
virome_phage_2359	4.120169
virome_phage_909	7.6357694
virome_phage_54	0
virome_phage_736	0
virome_phage_2301	0
virome_phage_155	10.016909
virome_phage_2322	0
virome_phage_741	0
total_phage_233	4.405805
virome_phage_271	13.362568
total_phage_471	0
total_phage_713	0
virome_phage_8	11.662743
total_phage_446	0
total_phage_794	0
virome_phage_88	8.061741
virome_phage_2272	0
total_phage_611	0
virome_phage_794	0
virome_phage_2320	0
virome_phage_176	60.453133
total_phage_369	4.238792
virome_phage_154	36.767616
virome_phage_73	2.1997516
virome_phage_862	48.323154
total_phage_105	0
total_phage_605	0
virome_phage_2388	0
virome_phage_55	30.727575
virome_phage_2424	608.64343
virome_phage_746	0
virome_phage_900	0
total_phage_303	0
virome_phage_71	2.0666685
total_phage_363	2.9190836
virome_phage_2372	3.7183008
virome_phage_974	0
virome_phage_124	190.67291
total_phage_789	0
virome_phage_861	0
virome_phage_1467	0
total_phage_600	0
total_phage_362	6.293816
virome_phage_7	18.981945
virome_phage_2282	0
virome_phage_2237	0
total_phage_254	298.72345
total_phage_240	0
virome_phage_1541	0
total_phage_443	4.0270247
virome_phage_2522	62.397984
total_phage_116	0
virome_phage_761	0
virome_phage_935	0
total_phage_935	2.4885597
virome_phage_2293	0
total_phage_934	2.6911278
virome_phage_868	0
virome_phage_9	1.4861556
total_phage_237	0
virome_phage_743	0
virome_phage_84	12.641628
virome_phage_908	0
virome_phage_5	3.2979174
virome_phage_789	0
virome_phage_109	0
virome_phage_1565	0
virome_phage_151	12.5213785
virome_phage_904	0
virome_phage_837	0
virome_phage_63	1.7083049
virome_phage_10	66.81629
virome_phage_2269	20.359215
virome_phage_762	0
virome_phage_806	0
virome_phage_765	0
virome_phage_2294	0
virome_phage_123	9.146259
total_phage_307	14.7634945
total_phage_929	0
virome_phage_1004	82.045815
total_phage_188	0
total_phage_616	0
virome_phage_811	0
virome_phage_65	15.284722
total_phage_804	8.075792
virome_phage_807	0
virome_phage_745	0
virome_phage_24	6.5124397
virome_phage_979	0
virome_phage_828	0
total_phage_604	0
total_phage_517	0
total_phage_305	0
virome_phage_793	0
virome_phage_1154	0
virome_phage_2327	1.8278955
virome_phage_758	0
total_phage_653	0
total_phage_122	0
virome_phage_859	0
total_phage_111	0
virome_phage_939	0
virome_phage_196	4.9874864
virome_phage_813	0
virome_phage_750	0
total_phage_231	0
virome_phage_735	0
virome_phage_871	0
virome_phage_756	0
virome_phage_2295	0
virome_phage_18	8.56365
total_phage_664	0
total_phage_299	0
virome_phage_1770	0
virome_phage_842	0
virome_phage_158	21.054907
virome_phage_820	0
total_phage_114	0
virome_phage_68	1.6022427
virome_phage_769	0
total_phage_106	7.500931
virome_phage_145	2132.9429
virome_phage_788	0
virome_phage_751	0
virome_phage_2324	18.209896
total_phage_179	0
virome_phage_912	0
total_phage_697	0
total_phage_809	0
virome_phage_37	3.4603856
virome_phage_1142	0
virome_phage_189	2.4434843
virome_phage_841	0
virome_phage_164	91.116135
total_phage_98	0
virome_phage_239	558.5416
total_phage_298	3.7946866
virome_phage_863	0
total_phage_497	0
total_phage_247	0
total_phage_745	3.193178
virome_phage_172	2.2104309
virome_phage_25	86.39424
total_phage_743	155.08078
virome_phage_52	3.7393763
virome_phage_1109	0
total_phage_487	0
virome_phage_2360	7.875646
total_phage_252	0
virome_phage_2385	0
virome_phage_783	0
total_phage_248	3.6180823
total_phage_244	0
virome_phage_739	8.422788
virome_phage_2313	0
virome_phage_955	0
total_phage_791	0
total_phage_637	0
virome_phage_796	0
virome_phage_754	0
virome_phage_58	1.7020674
virome_phage_838	0
total_phage_501	0
virome_phage_827	0
virome_phage_51	54.69725
virome_phage_47	2.2726767
virome_phage_2290	5.73644
total_phage_95	0
total_phage_118	0
virome_phage_2389	0
virome_phage_870	0
virome_phage_1032	70.94713
virome_phage_2239	0
virome_phage_112	26.773193
virome_phage_2268	0
virome_phage_303	478.73178
virome_phage_152	116.682335
virome_phage_79	12.136613
virome_phage_2357	0
total_phage_293	0
total_phage_304	0
virome_phage_799	0
virome_phage_884	2.210489
virome_phage_440	0
virome_phage_201	273.09222
virome_phage_2255	0
total_phage_797	5.61982
virome_phage_2280	16.23777
virome_phage_893	0
virome_phage_16	1.4776714
virome_phage_949	0
total_phage_232	0
virome_phage_803	0
virome_phage_66	10.781473
total_phage_520	0
total_phage_782	5.4561057
virome_phage_914	0
virome_phage_786	0
virome_phage_787	0
virome_phage_144	7.7110586
total_phage_306	3.7856884
total_phage_176	0
total_phage_806	0
virome_phage_2275	0
