Genome	17_A_MEL_host_removed_R1_2300000.fq Trimmed Mean
virome_phage_46	0
virome_phage_2315	0
total_phage_417	14.96443
virome_phage_835	63.496883
virome_phage_997	0
total_phage_243	0
virome_phage_62	0
virome_phage_116	0
virome_phage_752	1.8746684
total_phage_788	0
virome_phage_34	0
virome_phage_2329	2.5225813
total_phage_663	0
virome_phage_2402	0
virome_phage_2303	9.407782
virome_phage_35	0
total_phage_249	0
total_phage_187	2.6825874
virome_phage_857	1.5352882
virome_phage_899	0
total_phage_526	0
virome_phage_876	38.784252
virome_phage_770	4.5817294
virome_phage_846	13.049468
virome_phage_2380	0
virome_phage_2274	0
total_phage_730	0
total_phage_786	0
virome_phage_49	0
total_phage_727	0
virome_phage_202	0
virome_phage_901	1.6347629
total_phage_117	2.950458
virome_phage_2345	0
virome_phage_812	5.810664
virome_phage_142	4.4661355
virome_phage_31	0
virome_phage_181	0
virome_phage_67	29.107744
virome_phage_855	2.1237452
virome_phage_898	2.107221
virome_phage_48	0
virome_phage_851	1.8300673
total_phage_9	0
virome_phage_41	0
total_phage_297	0
total_phage_360	4.161373
total_phage_12	0
virome_phage_778	18.607143
virome_phage_854	3.7446694
total_phage_639	0
virome_phage_864	1.5130341
virome_phage_993	411.58118
total_phage_418	0
virome_phage_2263	0
total_phage_125	0
virome_phage_2368	36.87902
total_phage_696	0
virome_phage_275	0
total_phage_731	0
total_phage_930	0
virome_phage_2270	0
virome_phage_118	34.919704
total_phage_294	15.520674
virome_phage_2398	0
total_phage_524	0
total_phage_787	0
virome_phage_1131	2.9655042
total_phage_366	0
virome_phage_766	3.1435544
total_phage_798	0
virome_phage_792	22.150883
total_phage_175	14.67865
virome_phage_2254	0
virome_phage_2342	0
total_phage_483	0
virome_phage_890	11.327423
virome_phage_2914	0
total_phage_413	195.20798
total_phage_512	0
virome_phage_2624	0
total_phage_113	112.715836
virome_phage_42	0
virome_phage_894	0
total_phage_104	0
virome_phage_1082	0
virome_phage_2235	38.78516
virome_phage_2312	0
total_phage_174	0
virome_phage_117	0
virome_phage_77	0
virome_phage_829	11.55683
virome_phage_815	14.209389
virome_phage_2333	0
virome_phage_2356	0
virome_phage_2343	56.495697
virome_phage_1849	0
virome_phage_960	190.91846
virome_phage_272	0
virome_phage_1063	0
virome_phage_782	3.859605
virome_phage_847	2.8462086
virome_phage_177	0
virome_phage_808	13.840448
virome_phage_12	0
virome_phage_866	2.177177
virome_phage_56	0
virome_phage_50	0
virome_phage_2599	0
total_phage_500	0
total_phage_239	17.374039
total_phage_785	8.226685
total_phage_783	4.051615
virome_phage_22	0
virome_phage_834	8.336474
virome_phage_1507	0
virome_phage_2409	0
virome_phage_2401	0
virome_phage_825	1.9872174
total_phage_658	0
virome_phage_913	1.771568
total_phage_242	3.6742163
total_phage_18	0
virome_phage_1236	5.540148
virome_phage_2330	0
virome_phage_153	52.50322
virome_phage_2465	0
virome_phage_14	0
virome_phage_1675	4.8189564
virome_phage_809	3.0496054
total_phage_737	0
total_phage_246	0
virome_phage_193	0
virome_phage_83	0
virome_phage_749	8.562736
total_phage_820	0
virome_phage_780	1.8994193
virome_phage_797	10.963763
virome_phage_2323	0
virome_phage_831	2.5157683
total_phage_735	6.930049
total_phage_738	3.5450373
virome_phage_833	1.4524909
virome_phage_881	5.9774184
total_phage_479	0
virome_phage_759	28.085892
virome_phage_843	3.2652404
virome_phage_2496	0
virome_phage_115	4.819862
total_phage_650	0
virome_phage_903	0
total_phage_711	0
virome_phage_819	74.20671
virome_phage_860	3.2051344
virome_phage_32	0
virome_phage_798	146.6817
virome_phage_91	0
