Genome	12_A_MEL_host_removed_R1_2400000.fq Trimmed Mean
virome_phage_46	11.322109
virome_phage_2315	26.14323
total_phage_417	5.156447
virome_phage_835	0
virome_phage_997	0
total_phage_243	0
virome_phage_62	1.4480224
virome_phage_116	17.699944
virome_phage_752	0
total_phage_788	0
virome_phage_34	7.702271
virome_phage_2329	7.864894
total_phage_663	0
virome_phage_2402	0
virome_phage_2303	5.5404468
virome_phage_35	2.7625344
total_phage_249	0
total_phage_187	0
virome_phage_857	0
virome_phage_899	0
total_phage_526	0
virome_phage_876	8.789148
virome_phage_770	0
virome_phage_846	10.174658
virome_phage_2380	0
virome_phage_2274	0
total_phage_730	11.174527
total_phage_786	0
virome_phage_49	4.1352453
total_phage_727	0
virome_phage_202	5.3632073
virome_phage_901	0
total_phage_117	0
virome_phage_2345	0
virome_phage_812	0
virome_phage_142	15.845541
virome_phage_31	4.931593
virome_phage_181	620.719
virome_phage_67	16.116735
virome_phage_855	0
virome_phage_898	0
virome_phage_48	11.504871
virome_phage_851	0
total_phage_9	0
virome_phage_41	3.1364012
total_phage_297	0
total_phage_360	0
total_phage_12	0
virome_phage_778	3.5883498
virome_phage_854	0
total_phage_639	0
virome_phage_864	0
virome_phage_993	51.692215
total_phage_418	0
virome_phage_2263	0
total_phage_125	0
virome_phage_2368	20.741829
total_phage_696	0
virome_phage_275	187.27863
total_phage_731	29.275454
total_phage_930	0
virome_phage_2270	0
virome_phage_118	66.775116
total_phage_294	5.0564895
virome_phage_2398	0
total_phage_524	0
total_phage_787	0
virome_phage_1131	0
total_phage_366	0
virome_phage_766	0
total_phage_798	2.0680974
virome_phage_792	3.7144623
total_phage_175	6.7773576
virome_phage_2254	0
virome_phage_2342	11.25306
total_phage_483	0
virome_phage_890	12.268997
virome_phage_2914	0
total_phage_413	126.78519
total_phage_512	0
virome_phage_2624	10.376319
total_phage_113	0
virome_phage_42	2.3409166
virome_phage_894	0
total_phage_104	0
virome_phage_1082	0
virome_phage_2235	5.235058
virome_phage_2312	0
total_phage_174	5.8961654
virome_phage_117	5.2525835
virome_phage_77	6.8656287
virome_phage_829	0
virome_phage_815	0
virome_phage_2333	0
virome_phage_2356	0
virome_phage_2343	36.922867
virome_phage_1849	0
virome_phage_960	701.1348
virome_phage_272	20.079958
virome_phage_1063	0
virome_phage_782	0
virome_phage_847	0
virome_phage_177	1.7394859
virome_phage_808	0
virome_phage_12	7.5343313
virome_phage_866	0
