Genome	17_A_MEL_host_removed_R1_3400000.fq Trimmed Mean
virome_phage_46	0
virome_phage_2315	0
total_phage_417	22.46162
virome_phage_835	95.91996
virome_phage_997	2.0668833
total_phage_243	0
virome_phage_62	0
virome_phage_116	0
virome_phage_752	2.8538957
total_phage_788	0
virome_phage_34	0
virome_phage_2329	3.5711112
total_phage_663	0
virome_phage_2402	0
virome_phage_2303	14.182714
virome_phage_35	0
total_phage_249	2.8119166
total_phage_187	3.8364575
virome_phage_857	2.2721941
virome_phage_899	2.0352097
total_phage_526	0
virome_phage_876	57.660862
virome_phage_770	7.240256
virome_phage_846	18.608912
virome_phage_2380	0
virome_phage_2274	0
total_phage_730	0
total_phage_786	0
virome_phage_49	0
total_phage_727	0
virome_phage_202	0
virome_phage_901	2.433356
total_phage_117	4.2566075
virome_phage_2345	0
virome_phage_812	9.033385
virome_phage_142	6.915977
virome_phage_31	0
virome_phage_181	0
virome_phage_67	43.211826
virome_phage_855	3.0606976
virome_phage_898	3.1672235
virome_phage_48	0
virome_phage_851	2.6059508
total_phage_9	12.255217
virome_phage_41	0
total_phage_297	0
total_phage_360	6.348195
total_phage_12	0
virome_phage_778	26.858189
virome_phage_854	5.4928536
total_phage_639	0
virome_phage_864	2.3418245
virome_phage_993	608.814
total_phage_418	0
virome_phage_2263	0
total_phage_125	0
virome_phage_2368	55.031693
total_phage_696	0
virome_phage_275	0
total_phage_731	0
total_phage_930	0
virome_phage_2270	0
virome_phage_118	50.942974
total_phage_294	22.596281
virome_phage_2398	0
total_phage_524	0
total_phage_787	0
virome_phage_1131	4.359742
total_phage_366	0
virome_phage_766	4.5879736
total_phage_798	0
virome_phage_792	32.851036
total_phage_175	22.040127
virome_phage_2254	0
virome_phage_2342	0
total_phage_483	0
virome_phage_890	16.842659
virome_phage_2914	0
total_phage_413	288.19647
total_phage_512	0
virome_phage_2624	0
total_phage_113	166.09424
virome_phage_42	0
virome_phage_894	1.950075
total_phage_104	0
virome_phage_1082	0
virome_phage_2235	56.579544
virome_phage_2312	0
total_phage_174	0
virome_phage_117	0
virome_phage_77	0
virome_phage_829	16.867273
virome_phage_815	20.593426
virome_phage_2333	0
virome_phage_2356	0
virome_phage_2343	82.987595
virome_phage_1849	1.2469589
virome_phage_960	277.08307
virome_phage_272	0
virome_phage_1063	1.9137077
virome_phage_782	5.984376
virome_phage_847	4.341051
virome_phage_177	0
virome_phage_808	21.09723
virome_phage_12	0
virome_phage_866	3.3195722
virome_phage_56	0
virome_phage_50	0
virome_phage_2599	0
total_phage_500	0
total_phage_239	26.150412
total_phage_785	12.387168
total_phage_783	5.7905827
virome_phage_22	0
virome_phage_834	12.352849
virome_phage_1507	0
virome_phage_2409	0
virome_phage_2401	0
virome_phage_825	3.1639671
total_phage_658	0
virome_phage_913	2.7275298
total_phage_242	5.4843245
total_phage_18	0
virome_phage_1236	7.9816594
virome_phage_2330	0
virome_phage_153	77.14881
virome_phage_2465	0
virome_phage_14	0
virome_phage_1675	6.9549565
virome_phage_809	4.5533566
total_phage_737	0
total_phage_246	4.650817
virome_phage_193	0
virome_phage_83	0
virome_phage_749	12.69568
total_phage_820	0
virome_phage_780	2.8408105
virome_phage_797	15.846195
virome_phage_2323	0
virome_phage_831	3.8322759
total_phage_735	10.200768
total_phage_738	5.1484427
virome_phage_833	2.218192
virome_phage_881	8.59451
total_phage_479	0
virome_phage_759	41.19639
virome_phage_843	4.719874
virome_phage_2496	0
virome_phage_115	7.0055523
total_phage_650	0
virome_phage_903	1.4810915
total_phage_711	0
virome_phage_819	109.34629
virome_phage_860	4.873878
