Genome	17_A_MEL_host_removed_R1_2500000.fq Trimmed Mean
virome_phage_46	0
virome_phage_2315	0
total_phage_417	16.284079
virome_phage_835	69.422356
virome_phage_997	0
total_phage_243	0
virome_phage_62	0
virome_phage_116	0
virome_phage_752	2.0642917
total_phage_788	0
virome_phage_34	0
virome_phage_2329	2.6502934
total_phage_663	0
virome_phage_2402	0
virome_phage_2303	10.24816
virome_phage_35	0
total_phage_249	0
total_phage_187	2.8303308
virome_phage_857	1.748871
virome_phage_899	1.4746084
total_phage_526	0
virome_phage_876	42.57498
virome_phage_770	5.0526996
virome_phage_846	14.089463
virome_phage_2380	0
virome_phage_2274	0
total_phage_730	0
total_phage_786	0
virome_phage_49	0
total_phage_727	0
virome_phage_202	0
virome_phage_901	1.7913773
total_phage_117	3.1228745
virome_phage_2345	0
virome_phage_812	6.3091426
virome_phage_142	4.8519444
virome_phage_31	0
virome_phage_181	0
virome_phage_67	31.558756
virome_phage_855	2.2617586
virome_phage_898	2.3407278
virome_phage_48	0
virome_phage_851	1.989614
total_phage_9	0
virome_phage_41	0
total_phage_297	0
total_phage_360	4.6285543
total_phage_12	0
virome_phage_778	19.93764
virome_phage_854	4.0533557
total_phage_639	0
virome_phage_864	1.5532033
virome_phage_993	447.59354
total_phage_418	0
virome_phage_2263	0
total_phage_125	0
virome_phage_2368	40.0871
total_phage_696	0
virome_phage_275	0
total_phage_731	0
total_phage_930	0
virome_phage_2270	0
virome_phage_118	37.56004
total_phage_294	16.804445
virome_phage_2398	0
total_phage_524	0
total_phage_787	0
virome_phage_1131	3.2887604
total_phage_366	0
virome_phage_766	3.4137516
total_phage_798	0
virome_phage_792	24.129684
total_phage_175	16.032267
virome_phage_2254	0
virome_phage_2342	0
total_phage_483	0
virome_phage_890	12.2501955
virome_phage_2914	0
total_phage_413	211.9877
total_phage_512	0
virome_phage_2624	0
total_phage_113	122.49186
virome_phage_42	0
virome_phage_894	0
total_phage_104	0
virome_phage_1082	0
virome_phage_2235	42.119442
virome_phage_2312	0
total_phage_174	0
virome_phage_117	0
virome_phage_77	0
virome_phage_829	12.512945
virome_phage_815	15.279386
virome_phage_2333	0
virome_phage_2356	0
virome_phage_2343	61.444702
virome_phage_1849	0
virome_phage_960	206.44681
virome_phage_272	0
virome_phage_1063	0
virome_phage_782	4.1713705
virome_phage_847	3.0859175
virome_phage_177	0
virome_phage_808	15.115383
virome_phage_12	0
virome_phage_866	2.3764877
virome_phage_56	0
virome_phage_50	0
virome_phage_2599	0
total_phage_500	0
total_phage_239	18.86436
total_phage_785	8.995529
total_phage_783	4.3342876
virome_phage_22	0
virome_phage_834	9.091547
virome_phage_1507	0
virome_phage_2409	0
virome_phage_2401	0
virome_phage_825	2.169467
total_phage_658	0
virome_phage_913	1.9129969
total_phage_242	4.090818
total_phage_18	0
virome_phage_1236	6.0124135
virome_phage_2330	0
virome_phage_153	56.686367
virome_phage_2465	0
virome_phage_14	0
virome_phage_1675	5.0667825
virome_phage_809	3.2320418
total_phage_737	0
total_phage_246	3.4454195
virome_phage_193	0
virome_phage_83	0
virome_phage_749	9.332919
total_phage_820	0
virome_phage_780	1.9820155
virome_phage_797	11.832316
virome_phage_2323	0
virome_phage_831	2.708377
total_phage_735	7.458297
total_phage_738	3.751848
virome_phage_833	1.5770695
virome_phage_881	6.481797
total_phage_479	0
virome_phage_759	30.63083
virome_phage_843	3.5330906
virome_phage_2496	0
virome_phage_115	5.326834
total_phage_650	0
virome_phage_903	0
total_phage_711	0
virome_phage_819	81.06372
virome_phage_860	3.48796
virome_phage_32	0
virome_phage_798	159.65836
