Genome	12_A_MEL_host_removed_R1_2100000.fq Trimmed Mean
virome_phage_46	9.960487
virome_phage_2315	22.847723
total_phage_417	4.5046015
virome_phage_835	0
virome_phage_997	0
total_phage_243	0
virome_phage_62	0
virome_phage_116	15.394594
virome_phage_752	0
total_phage_788	0
virome_phage_34	6.656533
virome_phage_2329	6.89447
total_phage_663	0
virome_phage_2402	0
virome_phage_2303	4.921768
virome_phage_35	2.4026449
total_phage_249	0
total_phage_187	0
virome_phage_857	0
virome_phage_899	0
total_phage_526	0
virome_phage_876	7.7033057
virome_phage_770	0
virome_phage_846	8.932167
virome_phage_2380	0
virome_phage_2274	0
total_phage_730	9.813754
total_phage_786	0
virome_phage_49	3.7217836
total_phage_727	0
virome_phage_202	4.6532645
virome_phage_901	0
total_phage_117	0
virome_phage_2345	0
virome_phage_812	0
virome_phage_142	13.839763
virome_phage_31	4.3673286
virome_phage_181	542.1832
virome_phage_67	14.181664
virome_phage_855	0
virome_phage_898	0
virome_phage_48	10.148024
virome_phage_851	0
total_phage_9	0
virome_phage_41	2.6351883
total_phage_297	0
total_phage_360	0
total_phage_12	0
virome_phage_778	3.1479383
virome_phage_854	0
total_phage_639	0
virome_phage_864	0
virome_phage_993	45.621857
total_phage_418	0
virome_phage_2263	0
total_phage_125	0
virome_phage_2368	18.208183
total_phage_696	0
virome_phage_275	163.25049
total_phage_731	25.627974
total_phage_930	0
virome_phage_2270	0
virome_phage_118	58.68179
total_phage_294	4.322148
virome_phage_2398	0
total_phage_524	0
total_phage_787	0
virome_phage_1131	0
total_phage_366	0
virome_phage_766	0
total_phage_798	0
virome_phage_792	3.1800752
total_phage_175	5.938822
virome_phage_2254	0
virome_phage_2342	10.122489
total_phage_483	0
virome_phage_890	10.764359
virome_phage_2914	0
total_phage_413	111.07525
total_phage_512	0
virome_phage_2624	9.175703
total_phage_113	0
virome_phage_42	2.0381913
virome_phage_894	0
total_phage_104	0
virome_phage_1082	0
virome_phage_2235	4.5906014
virome_phage_2312	0
total_phage_174	5.050912
virome_phage_117	4.6589375
virome_phage_77	5.8571935
virome_phage_829	0
virome_phage_815	0
virome_phage_2333	0
virome_phage_2356	0
virome_phage_2343	32.194294
virome_phage_1849	0
virome_phage_960	612.8399
virome_phage_272	17.452835
virome_phage_1063	0
virome_phage_782	0
virome_phage_847	0
virome_phage_177	0
virome_phage_808	0
virome_phage_12	6.5991406
virome_phage_866	0
virome_phage_56	0
virome_phage_50	0
virome_phage_2599	0
total_phage_500	0
total_phage_239	0
total_phage_785	0
total_phage_783	0
virome_phage_22	2.9541094
virome_phage_834	0
virome_phage_1507	0
virome_phage_2409	36.658417
virome_phage_2401	317.75992
virome_phage_825	0
total_phage_658	0
virome_phage_913	0
total_phage_242	2.8593383
total_phage_18	134.93468
virome_phage_1236	0
virome_phage_2330	240.99559
virome_phage_153	10.825897
virome_phage_2465	0
virome_phage_14	2.9280515
virome_phage_1675	0
virome_phage_809	0
total_phage_737	0
total_phage_246	0
virome_phage_193	8.058858
virome_phage_83	63.327217
virome_phage_749	0
total_phage_820	0
virome_phage_780	0
virome_phage_797	0
virome_phage_2323	97.52826
virome_phage_831	0
total_phage_735	0
total_phage_738	0
virome_phage_833	0
virome_phage_881	0
total_phage_479	0
virome_phage_759	9.100245
virome_phage_843	0
virome_phage_2496	0
virome_phage_115	10.476243
total_phage_650	0
virome_phage_903	0
total_phage_711	0
virome_phage_819	0
virome_phage_860	0
virome_phage_32	2.270304
virome_phage_798	0
virome_phage_91	20.425188
virome_phage_742	0
virome_phage_882	0
total_phage_416	0
virome_phage_791	0
total_phage_733	4.7335625
total_phage_102	2.4790514
total_phage_454	0
virome_phage_98	0
virome_phage_784	0
virome_phage_2278	10.035254
virome_phage_33	4.217143
virome_phage_740	4.599172
virome_phage_2259	0
virome_phage_1199	355.75604
virome_phage_1279	0
virome_phage_764	0
virome_phage_821	0
total_phage_2	0
virome_phage_795	0
total_phage_451	0
total_phage_437	0
virome_phage_2407	291.16928
virome_phage_1077	46.040237
virome_phage_804	0
virome_phage_69	14.061753
total_phage_1	5.6658487
virome_phage_2298	0
virome_phage_23	14.601115
virome_phage_4	36.360653
virome_phage_875	0
total_phage_808	0
virome_phage_94	0
virome_phage_1217	0
total_phage_370	0
total_phage_462	0
virome_phage_858	3.0704267
virome_phage_818	0
