id,size,pos,proteins,annotated_proteins
MD_0231,3,231,7.0,9.0
MD_0232,3,232,34.0,36.0
MD_0233,3,233,26.0,38.0
MD_0234,3,234,62.0,80.0
MD_0235,3,235,65.0,69.0
MD_0236,3,236,55.0,60.0
MD_0237,3,237,15.0,16.0
MD_0238,3,238,35.0,37.0
MD_0239,3,239,47.0,47.0
MD_0240,3,240,66.0,86.0
MD_0241,3,241,34.0,40.0
MD_0242,3,242,30.0,34.0
MD_0243,3,243,14.0,15.0
MD_0244,3,244,34.0,35.0
MD_0245,3,245,12.0,19.0
MD_0246,3,246,11.0,11.0
MD_0247,3,247,16.0,21.0
MD_0248,3,248,24.0,29.0
MD_0249,3,249,20.0,21.0
MD_0250,3,250,26.0,35.0
MD_0251,3,251,13.0,14.0
MD_0252,3,252,11.0,11.0
MD_0253,3,253,10.0,10.0
MD_0254,3,254,26.0,26.0
MD_0255,3,255,19.0,24.0
MD_0256,3,256,27.0,30.0
MD_0257,3,257,10.0,16.0
MD_0258,3,258,12.0,12.0
MD_0259,3,259,29.0,31.0
MD_0260,3,260,11.0,12.0
MD_0261,3,261,26.0,28.0
MD_0262,3,262,12.0,12.0
MD_0263,3,263,22.0,29.0
MD_0264,3,264,13.0,14.0
MD_0265,3,265,10.0,12.0
MD_0266,3,266,12.0,14.0
MD_0267,3,267,12.0,14.0
MD_0268,3,268,12.0,12.0
MD_0269,3,269,10.0,10.0
MD_0270,3,270,9.0,9.0
MD_0271,3,271,10.0,10.0
MD_0272,3,272,13.0,13.0
MD_0273,3,273,11.0,11.0
MD_0274,3,274,9.0,9.0
MD_0275,3,275,9.0,9.0
MD_0276,3,276,11.0,12.0
MD_0277,3,277,12.0,13.0
MD_0278,3,278,12.0,12.0
MD_0279,3,279,9.0,11.0
MD_0280,3,280,10.0,10.0
MD_0281,3,281,11.0,12.0
MD_0282,3,282,10.0,10.0
MD_0283,3,283,9.0,9.0
MD_0284,2,284,67.0,89.0
MD_0285,2,285,68.0,91.0
MD_0286,2,286,23.0,27.0
MD_0287,2,287,39.0,46.0
MD_0288,2,288,33.0,35.0
MD_0289,2,289,18.0,20.0
MD_0290,2,290,52.0,59.0
MD_0291,2,291,22.0,28.0
MD_0292,2,292,25.0,26.0
MD_0293,2,293,25.0,33.0
MD_0294,2,294,50.0,58.0
MD_0295,2,295,35.0,44.0
MD_0296,2,296,30.0,34.0
MD_0297,2,297,10.0,11.0
MD_0298,2,298,40.0,49.0
MD_0299,2,299,10.0,10.0
MD_0300,2,300,15.0,20.0
MD_0301,2,301,10.0,14.0
MD_0302,2,302,28.0,37.0
MD_0303,2,303,10.0,10.0
MD_0304,2,304,12.0,12.0
MD_0305,2,305,17.0,17.0
MD_0306,2,306,8.0,9.0
MD_0307,2,307,13.0,13.0
MD_0308,2,308,7.0,8.0
MD_0309,2,309,8.0,8.0
MD_0310,2,310,17.0,24.0
MD_0311,2,311,7.0,7.0
MD_0312,2,312,10.0,11.0
MD_0313,2,313,12.0,12.0
MD_0314,2,314,24.0,24.0
MD_0315,2,315,7.0,7.0
MD_0316,2,316,13.0,16.0
MD_0317,2,317,23.0,23.0
MD_0318,2,318,15.0,15.0
MD_0319,2,319,8.0,8.0
MD_0320,2,320,20.0,21.0
MD_0321,2,321,14.0,15.0
MD_0322,2,322,20.0,23.0
MD_0323,2,323,12.0,12.0
MD_0324,2,324,17.0,22.0
MD_0325,2,325,19.0,20.0
MD_0326,2,326,14.0,19.0
MD_0327,2,327,14.0,19.0
MD_0328,2,328,10.0,10.0
MD_0329,2,329,14.0,14.0
MD_0330,2,330,15.0,15.0
MD_0331,2,331,15.0,17.0
