Genome	3_B_IMP_host_removed_R1.fastq.gz Trimmed Mean	3_B_IMP_host_removed_R1.fastq.gz Covered Fraction
virome_phage_46	0	0
total_phage_18	0	0
virome_phage_765	0	0
total_phage_370	0	0
virome_phage_792	0	0
virome_phage_69	0	0
virome_phage_846	0	0
virome_phage_819	0	0
virome_phage_36	0	0
virome_phage_303	0	0
total_phage_3	0	0
total_phage_525	0	0
total_phage_418	0	0
virome_phage_2350	0	0
total_phage_102	0	0
virome_phage_858	0	0
virome_phage_77	0	0
virome_phage_28	0	0
virome_phage_807	0	0
virome_phage_80	0	0
virome_phage_2624	0	0
total_phage_172	0	0
virome_phage_828	0	0
virome_phage_915	0	0
virome_phage_58	0	0
virome_phage_754	0	0
total_phage_804	0	0
virome_phage_101	0	0
virome_phage_2320	0	0
virome_phage_1063	0	0
total_phage_727	0	0
virome_phage_2388	0	0
virome_phage_2400	0	0
virome_phage_743	0	0
virome_phage_902	0	0
virome_phage_860	0	0
virome_phage_10	0	0
total_phage_730	0	0
virome_phage_2255	0	0
virome_phage_116	0	0
total_phage_798	0	0
virome_phage_2368	0	0
virome_phage_1004	0	0
virome_phage_191	0	0
virome_phage_2347	0	0
total_phage_11	0	0
virome_phage_97	0	0
total_phage_244	0	0
virome_phage_810	0	0
total_phage_115	0	0
virome_phage_60	0	0
virome_phage_1236	0	0
virome_phage_2319	0	0
virome_phage_2346	0	0
virome_phage_61	0	0
total_phage_114	0	0
virome_phage_811	0	0
total_phage_245	0	0
virome_phage_96	0	0
virome_phage_11	0	0
virome_phage_861	0	0
virome_phage_903	0	0
virome_phage_742	0	0
virome_phage_2401	0	0
total_phage_357	0	0
total_phage_308	0	0
total_phage_799	0	0
virome_phage_117	0	0
virome_phage_1082	0	0
virome_phage_2254	0	0
total_phage_497	0	0
virome_phage_1117	0	0
virome_phage_219	0	0
total_phage_731	0	0
total_phage_653	10.581993	0.9948178
virome_phage_881	0	0
virome_phage_755	0	0
virome_phage_876	0	0
virome_phage_59	0	0
virome_phage_914	0	0
virome_phage_829	0	0
virome_phage_1668	0	0
virome_phage_2389	0	0
total_phage_644	3.2102387	0.9459971
virome_phage_2243	3.250945	0.90699506
virome_phage_81	0	0
total_phage_252	0	0
virome_phage_993	0	0
virome_phage_806	0	0
virome_phage_76	0	0
virome_phage_859	0	0
virome_phage_8	0	0
total_phage_807	0	0
total_phage_517	0	0
virome_phage_2323	0	0
virome_phage_331	0	0
virome_phage_949	0	0
virome_phage_939	0	0
virome_phage_804	0	0
virome_phage_83	0	0
virome_phage_778	0	0
virome_phage_172	0	0
virome_phage_2353	0	0
total_phage_636	20.614363	1
virome_phage_2299	0	0
total_phage_12	0	0
virome_phage_94	0	0
total_phage_247	0	0
virome_phage_1813	0	0
virome_phage_813	0	0
total_phage_116	0	0
virome_phage_63	0	0
virome_phage_798	0	0
total_phage_9	0	0
total_phage_743	0	0
total_phage_733	0	0
virome_phage_1077	0	0
virome_phage_115	0	0
total_phage_500	0	0
total_phage_462	0	0
virome_phage_2913	0	0
virome_phage_1411	0	0
total_phage_237	0	0
virome_phage_740	0	0
virome_phage_894	0	0
virome_phage_2403	0	0
virome_phage_901	0	0
virome_phage_863	0	0
total_phage_95	0	0
virome_phage_2335	0	0
total_phage_501	0	0
total_phage_650	10.484396	0.99879336
virome_phage_12	0	0
virome_phage_862	0	0
virome_phage_900	0	0
virome_phage_895	0	0
virome_phage_2402	0	0
virome_phage_741	0	0
virome_phage_2912	0	0
virome_phage_799	0	0
virome_phage_62	0	0
total_phage_117	0	0
virome_phage_812	0	0
total_phage_246	0	0
virome_phage_2278	0	0
total_phage_413	0	0
virome_phage_2345	0	0
virome_phage_164	0	0
virome_phage_1006	0	0
virome_phage_193	0	0
total_phage_8	0	0
virome_phage_235	0	0
virome_phage_779	0	0
virome_phage_82	0	0
virome_phage_2465	0	0
virome_phage_75	0	0
total_phage_100	0	0
total_phage_637	4.841547	0.98949385
virome_phage_2298	0	0
total_phage_725	2.839598	0.79015046
total_phage_483	3.6443605	0.81956017
virome_phage_1061	0	0
virome_phage_2322	0	0
total_phage_806	0	0
virome_phage_9	0	0
virome_phage_1565	0	0
total_phage_187	0	0
virome_phage_756	0	0
virome_phage_882	0	0
virome_phage_875	0	0
total_phage_417	0	0
virome_phage_160	0	0
virome_phage_91	0	0
virome_phage_1849	0	0
virome_phage_735	0	0
total_phage_242	0	0
virome_phage_39	0	0
virome_phage_816	0	0
virome_phage_974	0	0
virome_phage_849	0	0
virome_phage_66	0	0
total_phage_113	0	0
virome_phage_745	0	0
virome_phage_891	0	0
total_phage_232	0	0
virome_phage_49	0	0
virome_phage_866	0	0
virome_phage_904	0	0
virome_phage_839	0	0
virome_phage_16	0	0
virome_phage_110	0	0
total_phage_174	0	0
virome_phage_871	0	0
virome_phage_913	0	0
virome_phage_2411	0	0
virome_phage_752	0	0
virome_phage_158	0	0
total_phage_789	0	0
total_phage_512	11.32016	0.94939387
virome_phage_1092	0	0
virome_phage_107	0	0
total_phage_487	2.1621482	0.776819
virome_phage_2356	0	0
virome_phage_1279	0	0
virome_phage_177	0	0
virome_phage_71	0	0
total_phage_104	0	0
virome_phage_2496	0	0
virome_phage_963	0	0
virome_phage_86	0	0
total_phage_368	0	0
virome_phage_181	0	0
virome_phage_176	0	0
virome_phage_2235	0	0
virome_phage_2357	0	0
virome_phage_2308	0	0
total_phage_369	0	0
virome_phage_87	0	0
total_phage_254	0	0
virome_phage_800	0	0
total_phage_105	0	0
virome_phage_70	0	0
virome_phage_753	0	0
virome_phage_912	0	0
virome_phage_870	0	0
total_phage_175	0	0
total_phage_788	0	0
total_phage_471	7.4554706	0.91446483
virome_phage_2327	0	0
total_phage_803	0	0
virome_phage_17	0	0
virome_phage_838	0	0
virome_phage_867	0	0
virome_phage_48	0	0
total_phage_233	0	0
virome_phage_2407	0	0
virome_phage_890	0	0
virome_phage_744	0	0
total_phage_929	0	0
virome_phage_2330	0	0
total_phage_655	6.4358206	0.9866175
total_phage_737	0	0
virome_phage_2398	0	0
total_phage_449	0	0
total_phage_416	0	0
virome_phage_196	0	0
total_phage_112	0	0
virome_phage_67	0	0
virome_phage_848	0	0
virome_phage_817	0	0
virome_phage_38	0	0
total_phage_243	0	0
virome_phage_734	0	0
