Genome	17_A_MEL_host_removed_R1.fastq.gz Trimmed Mean	17_A_MEL_host_removed_R1.fastq.gz Covered Fraction
virome_phage_845	11.872185	1
virome_phage_791	5583.5645	1
virome_phage_35	0	0
virome_phage_749	57.477016	1
total_phage_303	38.49245	0.9962576
total_phage_296	23.793526	0.9822789
virome_phage_835	426.1916	1
virome_phage_908	41.29383	1
virome_phage_45	0	0
total_phage_658	0	0
virome_phage_37	0	0
virome_phage_818	9.67312	1
virome_phage_847	18.407373	1
virome_phage_68	0	0
virome_phage_793	19.558563	1
virome_phage_925	7.0302854	1
total_phage_371	36.64803	0.9938121
virome_phage_764	22.605251	1
virome_phage_1199	742.7715	1
virome_phage_2310	38.826668	0.94801825
total_phage_446	0	0
virome_phage_2272	0	0
total_phage_524	0	0
virome_phage_1131	19.566813	1
total_phage_2	0	0
virome_phage_2285	0	0
total_phage_790	0	0
total_phage_926	0	0
virome_phage_2360	71.56297	1
total_phage_738	21.103003	0.9973951
total_phage_605	0	0
virome_phage_47	0	0
virome_phage_868	13.468222	0.9996814
virome_phage_837	492.16013	1
virome_phage_18	11.609977	0.92645705
virome_phage_955	969.59106	1
total_phage_294	95.0503	0.9979271
virome_phage_1109	120.91366	0.9998412
virome_phage_2380	5.0983543	0.751749
virome_phage_3	0	0
virome_phage_2328	0	0
total_phage_787	3.2074811	0.8440726
virome_phage_109	0	0
virome_phage_2522	25.428572	0.85191953
virome_phage_820	10.1682	1
virome_phage_50	0	0
total_phage_125	0	0
virome_phage_88	78.331856	0.9998872
virome_phage_773	25.462769	0.99997854
total_phage_366	2.375155	0.7577192
virome_phage_1784	10.296015	1
virome_phage_784	15.116235	1
virome_phage_850	135.37239	1
virome_phage_932	86.32759	1
virome_phage_2292	0	0
total_phage_451	0	0
virome_phage_280	0	0
virome_phage_21	0	0
virome_phage_851	11.236071	1
virome_phage_785	413.6927	1
virome_phage_772	10.82478	0.9980372
virome_phage_1541	211.30347	1
total_phage_694	0	0
virome_phage_2359	16.222446	0.9630003
virome_phage_127	22.024534	0.9971143
virome_phage_2306	0	0
virome_phage_2293	0	0
total_phage_663	0	0
total_phage_930	0	0
virome_phage_2329	15.604575	0.9505551
total_phage_786	0	0
virome_phage_2	21.660069	0.9999718
total_phage_488	0	0
virome_phage_51	0	0
virome_phage_821	167.76146	1
total_phage_604	0	0
total_phage_739	21.2181	0.9165376
total_phage_437	18.042421	0.9995356
total_phage_927	0	0
total_phage_791	5.722461	0.83400565
virome_phage_2409	0	0
virome_phage_19	0	0
virome_phage_46	0	0
total_phage_18	0	0
virome_phage_765	17.388767	1
total_phage_370	0	0
virome_phage_792	140.74448	1
virome_phage_69	0	0
virome_phage_846	82.499275	1
virome_phage_819	490.7937	1
virome_phage_36	0	0
virome_phage_303	0	0
total_phage_3	0	0
total_phage_525	0	0
total_phage_418	5.6946435	0.923183
virome_phage_2350	12.657799	0.8952355
total_phage_102	63.263596	0.936671
virome_phage_858	61.429775	0.9999094
virome_phage_77	0	0
virome_phage_28	0	0
virome_phage_807	68.55126	0.99992526
virome_phage_80	0	0
virome_phage_2624	0	0
total_phage_172	149.3733	0.9805553
virome_phage_828	115.45509	1
virome_phage_915	541.70465	1
virome_phage_58	0	0
virome_phage_754	12.535545	1
total_phage_804	66.518074	1
virome_phage_101	0	0
virome_phage_2320	0	0
virome_phage_1063	8.161024	1
total_phage_727	0	0
virome_phage_2388	0	0
virome_phage_2400	0	0
virome_phage_743	17.400908	1
virome_phage_902	103.48746	1
virome_phage_860	20.762285	1
virome_phage_10	12.395016	0.964494
total_phage_730	8.103146	0.8506323
virome_phage_2255	0	0
virome_phage_116	0	0
total_phage_798	12.380147	0.8876338
virome_phage_2368	241.44472	0.96776146
virome_phage_1004	623.1845	1
virome_phage_191	0	0
virome_phage_2347	10.655956	0.8404549
total_phage_11	6.2776437	0.8617831
virome_phage_97	0	0
total_phage_244	0	0
virome_phage_810	14.599563	1
total_phage_115	25.160635	0.90503246
virome_phage_60	0	0
virome_phage_1236	37.027397	1
virome_phage_2319	0	0
virome_phage_2346	2.865161	0.8836278
virome_phage_61	0	0
total_phage_114	13.911116	0.84769934
virome_phage_811	11.037902	1
total_phage_245	22.655897	0.8961676
virome_phage_96	0	0
virome_phage_11	0	0
virome_phage_861	9.550745	0.9982631
virome_phage_903	6.8333945	0.99877137
virome_phage_742	13.199635	1
virome_phage_2401	0	0
total_phage_357	2.9398453	0.7839933
total_phage_308	135.90973	1
total_phage_799	44.879093	0.9995537
virome_phage_117	7.6421556	0.88271934
virome_phage_1082	6.990387	1
virome_phage_2254	0	0
total_phage_497	0	0
virome_phage_1117	13.78268	1
virome_phage_219	0	0
total_phage_731	0	0
total_phage_653	0	0
virome_phage_881	35.227978	1
virome_phage_755	8.255501	0.99661404
virome_phage_876	259.41122	1
virome_phage_59	0	0
virome_phage_914	10.4125185	0.995843
virome_phage_829	72.60494	1
virome_phage_1668	13.403733	1
virome_phage_2389	0	0
total_phage_644	0	0
virome_phage_2243	0	0
virome_phage_81	0	0
total_phage_252	0	0
virome_phage_993	2741.25	1
virome_phage_806	63.39392	1
virome_phage_76	0	0
virome_phage_859	20.530308	1
virome_phage_8	0	0
total_phage_807	0	0
total_phage_517	0	0
virome_phage_2323	0	0
virome_phage_331	0	0
virome_phage_949	3595.9873	1
virome_phage_939	15.243852	1
virome_phage_804	13.833888	0.99997514
virome_phage_83	0	0
virome_phage_778	116.42004	0.99995637
virome_phage_172	45.058044	0.98735565
virome_phage_2353	65.02735	0.7939153
total_phage_636	0	0
virome_phage_2299	0	0
total_phage_12	15.700801	0.879846
virome_phage_94	0	0
total_phage_247	8.22519	0.8560328
virome_phage_1813	28.51448	1
virome_phage_813	45.940517	0.9997701
total_phage_116	19.025188	0.83833414
virome_phage_63	0	0
virome_phage_798	977.6299	1
total_phage_9	44.925674	0.8327175
total_phage_743	1839.5294	0.9966768
total_phage_733	23.603334	0.90257096
virome_phage_1077	8.414681	1
virome_phage_115	30.102446	0.9979137
total_phage_500	0	0
total_phage_462	0	0
virome_phage_2913	0	0
virome_phage_1411	18.351057	1
total_phage_237	3.8327594	0.87063426
virome_phage_740	23.210733	1
virome_phage_894	9.5758095	1
virome_phage_2403	4.602159	0.97070485
virome_phage_901	11.029907	1
virome_phage_863	8.584854	0.99706256
total_phage_95	0	0
virome_phage_2335	42.892956	0.8560401
total_phage_501	0	0
total_phage_650	0	0
virome_phage_12	0	0
virome_phage_862	196.16164	1
virome_phage_900	195.15112	0.99642944
virome_phage_895	9.590985	1
virome_phage_2402	0	0
virome_phage_741	10.607207	1
virome_phage_2912	0	0
virome_phage_799	16.754822	0.9999515
virome_phage_62	0	0
total_phage_117	18.309015	0.9693102
virome_phage_812	38.700497	1
total_phage_246	20.267193	0.9401822
virome_phage_2278	5.413288	0.80077225
total_phage_413	1259.9563	1
virome_phage_2345	0	0
virome_phage_164	4.4869814	0.9740958
virome_phage_1006	26.386625	1
virome_phage_193	0	0
total_phage_8	0	0
virome_phage_235	5.436519	0.9001419
virome_phage_779	37.054554	1
virome_phage_82	65.03927	0.88953626
virome_phage_2465	2.1677263	0.75357354
virome_phage_75	0	0
total_phage_100	0	0
total_phage_637	0	0
virome_phage_2298	174.6508	0.972636
total_phage_725	0	0
total_phage_483	0	0
virome_phage_1061	11.100624	0.9993424
virome_phage_2322	0	0
total_phage_806	24.483675	0.8602348
virome_phage_9	0	0
virome_phage_1565	8.822335	1
total_phage_187	17.749172	0.94254917
virome_phage_756	8.575501	0.9994902
virome_phage_882	43.222	1
virome_phage_875	9.798851	1
total_phage_417	95.18009	0.95655394
virome_phage_160	0	0
virome_phage_91	13.812214	0.76216793
virome_phage_1849	5.5925856	1
virome_phage_735	11.770218	0.9999608
total_phage_242	22.895264	0.9957733
virome_phage_39	0	0
virome_phage_816	11.543332	1
virome_phage_974	8.291182	0.999441
virome_phage_849	9.775832	0.9988375
virome_phage_66	0	0
total_phage_113	752.3142	0.8647707
virome_phage_745	25.155775	1
virome_phage_891	68.76353	0.99947405
total_phage_232	0	0
virome_phage_49	0	0
virome_phage_866	15.254627	0.99926805
virome_phage_904	43.49953	1
virome_phage_839	480.01483	0.9999716
virome_phage_16	0	0
virome_phage_110	0	0
total_phage_174	0	0
virome_phage_871	13.718366	0.99861467
virome_phage_913	12.595026	1
virome_phage_2411	0	0
virome_phage_752	12.652883	1
virome_phage_158	7.935675	0.8895118
total_phage_789	0	0
total_phage_512	0	0
virome_phage_1092	38.197506	1
virome_phage_107	9.042423	0.8362287
total_phage_487	0	0
virome_phage_2356	0	0
virome_phage_1279	15.934426	0.9986417
virome_phage_177	0	0
virome_phage_71	0	0
total_phage_104	0	0
virome_phage_2496	0	0
virome_phage_963	139.7366	1
virome_phage_86	11.858844	0.9004851
total_phage_368	19.36722	0.93411374
virome_phage_181	0	0
virome_phage_176	0	0
virome_phage_2235	248.57127	1
virome_phage_2357	0	0
virome_phage_2308	15.033457	0.9571245
total_phage_369	30.931992	0.9480506
virome_phage_87	0	0
total_phage_254	0	0
virome_phage_800	84.130325	0.99978113
total_phage_105	0	0
virome_phage_70	0	0
virome_phage_753	15.066614	1
virome_phage_912	12.917933	0.9995643
virome_phage_870	12.3480835	1
total_phage_175	93.07292	0.9946656
total_phage_788	8.913234	0.89089257
total_phage_471	0	0
virome_phage_2327	0	0
total_phage_803	0	0
virome_phage_17	0	0
virome_phage_838	9.137564	1
virome_phage_867	45.248463	1
virome_phage_48	0	0
total_phage_233	115.85664	0.9883637
virome_phage_2407	0	0
virome_phage_890	74.18526	1
virome_phage_744	39.729885	1
total_phage_929	0	0
virome_phage_2330	0	0
total_phage_655	0	0
total_phage_737	14.819278	0.8373788
virome_phage_2398	0	0
total_phage_449	6.0167956	0.9258105
total_phage_416	33.335506	0.96449643
virome_phage_196	0	0
total_phage_112	52.282562	0.8003988
virome_phage_67	190.53967	0.99925363
virome_phage_848	10.782114	1
virome_phage_817	21.29998	1
virome_phage_38	0	0
total_phage_243	0	0
virome_phage_734	0	0
virome_phage_1507	7.6792455	0.9986686
total_phage_735	44.855488	0.9201406
virome_phage_746	14.413274	1
total_phage_231	0	0
virome_phage_865	33.206944	0.9998746
virome_phage_15	0	0
total_phage_299	7.455254	0.8296408
virome_phage_92	91.93011	0.99905854
virome_phage_769	11.564369	0.999793
virome_phage_1467	33.39083	1
virome_phage_736	10.399173	0.99984443
virome_phage_815	90.781685	1
virome_phage_65	89.301125	0.99997526
total_phage_745	25.16042	0.985481
virome_phage_2288	94.640526	0.9996992
total_phage_414	87.30498	0.9814557
virome_phage_2342	0	0
virome_phage_72	0	0
virome_phage_789	13.691595	1
virome_phage_802	14.272168	0.99985236
virome_phage_960	1238.8384	1
virome_phage_997	9.831581	1
virome_phage_2268	0	0
virome_phage_2355	10.654713	0.8561154
virome_phage_2237	0	0
virome_phage_318	0	0
virome_phage_183	48.052498	0.8110083
virome_phage_2325	2.2277462	0.7967837
virome_phage_104	0	0
virome_phage_751	43.62299	1
virome_phage_885	125.731346	1
virome_phage_2324	0	0
total_phage_800	42.290127	0.9986883
virome_phage_1873	13.856524	1
virome_phage_884	31.497126	1
virome_phage_750	317.10132	1
virome_phage_911	8.73005	1
total_phage_176	80.06031	0.9929029
virome_phage_84	0	0
virome_phage_803	10.617775	1
total_phage_106	0	0
virome_phage_788	33.118587	1
virome_phage_73	0	0
virome_phage_2269	0	0
total_phage_111	56.18433	0.94160366
virome_phage_64	0	0
virome_phage_814	8.068798	0.9987171
total_phage_240	13.736514	0.8237334
virome_phage_768	48.796677	0.9980957
total_phage_415	19.639364	0.9619028
virome_phage_2343	327.71103	0.98624
virome_phage_112	29.87461	0.8226388
virome_phage_2333	0	0
total_phage_609	0	0
total_phage_734	20.507526	0.90902424
total_phage_92	0	0
total_phage_298	18.49137	0.8576341
virome_phage_14	0	0
virome_phage_906	61.212456	1
virome_phage_864	10.242801	1
virome_phage_747	82.286736	1
virome_phage_893	26.821615	1
virome_phage_2914	0	0
