Genome	12_A_MEL_host_removed_R1.fastq.gz Trimmed Mean	12_A_MEL_host_removed_R1.fastq.gz Covered Fraction
virome_phage_759	50.28094	0.9601927
total_phage_188	0	0
virome_phage_825	0	0
virome_phage_55	137.05782	1
virome_phage_202	24.64413	1
virome_phage_2385	0	0
virome_phage_153	59.715027	0.999314
virome_phage_2372	16.427717	0.9929276
total_phage_809	0	0
total_phage_934	10.724821	0.96177876
total_phage_782	25.74965	0.9997302
virome_phage_272	100.829575	1
virome_phage_2297	11.123418	0.9171028
total_phage_638	0	0
virome_phage_123	41.934364	0.9997654
virome_phage_2260	0	0
total_phage_454	0	0
virome_phage_776	14.835268	0.9771122
total_phage_363	12.656735	0.980731
virome_phage_781	0	0
virome_phage_855	0	0
virome_phage_25	386.6856	1
total_phage_443	16.530037	0.982582
virome_phage_2315	128.01215	0.99314284
virome_phage_2280	76.6494	0.93792355
virome_phage_32	12.758108	0.9997152
total_phage_118	142.91977	0.82565224
virome_phage_842	0	0
virome_phage_796	0	0
virome_phage_761	0	0
total_phage_249	6.281243	0.93016165
virome_phage_42	11.35426	0.99904823
virome_phage_440	6.5762763	1
virome_phage_832	0	0
virome_phage_2530	0	0
total_phage_304	0	0
total_phage_239	31.047838	0.90906626
total_phage_795	69.5258	0.9997444
virome_phage_144	38.714226	1
total_phage_600	0	0
total_phage_305	4.3885493	0.7723453
virome_phage_833	0	0
virome_phage_43	52.012516	1
virome_phage_2599	0	0
virome_phage_145	9630.37	1
total_phage_794	6.5609136	0.80676496
virome_phage_2259	0	0
total_phage_713	0	0
virome_phage_2281	0	0
virome_phage_2314	0	0
total_phage_520	0	0
total_phage_248	16.214996	1
virome_phage_760	0	0
virome_phage_797	0	0
virome_phage_843	0	0
virome_phage_33	25.081305	0.99976367
virome_phage_2303	23.500418	0.9560262
virome_phage_2296	0	0
total_phage_639	0	0
total_phage_666	0	0
virome_phage_24	30.000334	1
virome_phage_854	0	0
virome_phage_780	0	0
virome_phage_936	8.811062	0.8812692
total_phage_362	27.338215	0.9970265
virome_phage_54	4.6215525	0.9938594
total_phage_121	0	0
virome_phage_824	0	0
total_phage_189	16.908342	0.9999201
virome_phage_758	0	0
total_phage_783	5.0130844	0.8900916
total_phage_935	11.78664	0.98446006
total_phage_518	0	0
total_phage_808	8.310981	0.8364387
virome_phage_7	85.26129	1
virome_phage_152	519.99786	1
total_phage_616	0	0
total_phage_360	14.798889	0.8930638
virome_phage_856	0	0
virome_phage_79	54.764214	1
virome_phage_782	0	0
virome_phage_26	276.17227	1
virome_phage_809	0	0
virome_phage_271	61.459618	1
total_phage_664	0	0
virome_phage_1286	0	0
virome_phage_2294	0	0
virome_phage_2263	0	0
virome_phage_120	24.001722	1
virome_phage_2301	0	0
virome_phage_201	1246.7123	1
virome_phage_1032	328.5096	0.98420876
total_phage_729	0	0
virome_phage_5	15.360335	0.9999793
total_phage_478	0	0
virome_phage_826	0	0
total_phage_123	10.535851	0.95216894
virome_phage_56	6.83894	0.99805754
virome_phage_118	320.32074	1
virome_phage_2339	52.708797	0.9371061
total_phage_796	37.29781	0.9999474
virome_phage_2366	4.6172895	0.86827993
virome_phage_41	16.817183	1
total_phage_98	10.295618	0.90846634
virome_phage_831	0	0
total_phage_307	59.098473	0.96564937
virome_phage_899	0	0
total_phage_358	7.158515	0.9004423
virome_phage_31	23.629591	0.9998879
virome_phage_795	0	0
virome_phage_841	0	0
virome_phage_762	0	0
virome_phage_2274	0	0
virome_phage_239	2527.0059	1
total_phage_4	14.404257	0.95890373
total_phage_711	0	0
virome_phage_98	6.073175	0.9978132
virome_phage_840	0	0
virome_phage_794	0	0
total_phage_5	8.275055	0.9980857
virome_phage_2282	0	0
virome_phage_2275	0	0
virome_phage_1217	0	0
total_phage_797	24.788443	1
virome_phage_119	52.56413	0.9999615
virome_phage_898	0	0
total_phage_306	16.34081	0.96635395
total_phage_99	11.818472	0.90569234
total_phage_293	8.530032	0.7780162
total_phage_479	0	0
virome_phage_151	60.122295	0.9998964
virome_phage_4	204.02077	1
virome_phage_1033	339.40863	1
virome_phage_878	0	0
virome_phage_57	132.47162	1
total_phage_122	8.54673	0.8775848
virome_phage_827	0	0
virome_phage_808	0	0
virome_phage_27	739.84204	1
virome_phage_783	0	0
virome_phage_78	67.1473	1
virome_phage_857	0	0
virome_phage_935	9.191185	0.89147747
virome_phage_774	0	0
total_phage_361	7.319693	0.97827476
total_phage_692	0	0
virome_phage_2300	5.3739047	0.98608476
virome_phage_2295	0	0
virome_phage_189	11.140488	1
virome_phage_909	34.23207	1
virome_phage_1675	0	0
virome_phage_834	0	0
total_phage_297	2.0930746	0.82681257
virome_phage_748	0	0
virome_phage_1446	0	0
total_phage_793	40.8657	0.9532316
total_phage_925	16.429302	0.81701285
virome_phage_142	79.468636	1
virome_phage_1142	0	0
total_phage_445	3.461594	0.8145333
virome_phage_2313	1.6801516	0.7538084
total_phage_1	30.36317	0.948502
virome_phage_2286	0	0
virome_phage_34	38.506355	1
virome_phage_979	0	0
virome_phage_790	0	0
virome_phage_844	0	0
virome_phage_767	0	0
virome_phage_2424	2758.1003	1
virome_phage_738	0	0
virome_phage_2291	5801.4814	1
virome_phage_2304	29.093142	0.99997646
total_phage_820	0	0
virome_phage_2239	0	0
total_phage_696	0	0
virome_phage_770	0	0
virome_phage_787	0	0
virome_phage_1770	0	0
virome_phage_23	80.37675	0.99864554
virome_phage_823	0	0
total_phage_179	11.737964	0.87197423
total_phage_611	0	0
virome_phage_1155	0	0
virome_phage_155	43.36591	0.9990497
virome_phage_52	16.6309	1
total_phage_178	0	0
virome_phage_822	0	0
total_phage_785	25.730488	0.9693329
virome_phage_154	171.68225	1
virome_phage_1	106.59898	1
virome_phage_1154	0	0
virome_phage_2382	0	0
virome_phage_2238	0	0
total_phage_697	0	0
virome_phage_124	872.44006	1
total_phage_453	4.352963	0.7947746
virome_phage_2305	5.0250287	0.9844348
virome_phage_2290	26.546383	0.99830264
virome_phage_275	932.91846	1
virome_phage_22	15.733637	1
virome_phage_786	0	0
virome_phage_852	0	0
virome_phage_771	85.78936	0.96602136
total_phage_364	18.295673	0.99275655
total_phage_715	0	0
total_phage_0	0	0
total_phage_526	0	0
virome_phage_2270	0	0
virome_phage_2312	0	0
virome_phage_739	37.971657	0.9997662
virome_phage_766	0	0
virome_phage_845	0	0
virome_phage_791	0	0
virome_phage_35	14.308992	0.9995873
virome_phage_749	0	0
total_phage_303	98.85084	0.8258814
total_phage_296	15.668018	0.9795775
virome_phage_835	0	0
virome_phage_908	0	0
virome_phage_45	28.302387	0.999721
total_phage_658	0	0
virome_phage_37	16.184937	0.99991685
virome_phage_818	0	0
virome_phage_847	0	0
virome_phage_68	7.077242	0.99590826
virome_phage_793	0	0
virome_phage_925	0	0
total_phage_371	16.160501	0.92456645
virome_phage_764	0	0
virome_phage_1199	1893.0092	0.9527965
virome_phage_2310	7.460812	0.8917026
